timeframe,dead_zone,filter,commission,total_return,cagr,sharpe,max_dd,trades,final_nav,total_fees
1d,0.08,MACD+MA,0.001,0.19578964935358045,0.06769880901329972,1.1205685273756432,-0.4104090197588377,782,23915.792987071607,4163.934042634946
1d,0.1,MACD-Only,0.0001,0.2083226083005174,0.06711629719023948,1.0201326875041477,-0.3559005555140873,921,24166.45216601035,1531.7120742852921
2h,0.1,MACD+ADX,0.0001,0.20644817105736735,0.06706843728179956,0.5501852472659733,-0.5425687232248861,1256,24128.963421147346,2729.659790478386
4h,0.05,MACD+ADX,0.001,0.19979358325999574,0.0656059105216995,0.6963621581867645,-0.5342955419880453,1122,23995.871665199917,5836.2054634387505
2h,0.03,MACD+ADX+MA,0.0001,0.19814747851156334,0.06503156652506781,0.44489671824697763,-0.4017618737855069,1286,23962.949570231267,2240.5461586786473
2h,0.08,MACD+ADX,0.0001,0.197508822023704,0.06432704421471724,0.5493044286165811,-0.5375404847606302,1358,23950.17644047408,2710.660557893798
2h,0.03,MACD+MA,0.0001,0.19550623573014958,0.06421272173742287,0.531148761825324,-0.41448736386441143,2226,23910.124714602993,3728.1771800578317
1h,0.1,MACD+MA,0.0001,0.19566645411515848,0.06382271579640908,0.39024996208971935,-0.48653844113481903,2137,23913.32908230317,5100.590244658506
1d,0.03,MACD-Only,0.0,0.19370411004882548,0.06266677247592312,0.9971460863076136,-0.3825173234365822,1731,23874.08220097651,1725.4101754567182
4h,0.08,MACD+MA,0.001,0.18622945650797296,0.062307176825528776,0.7142299444478913,-0.3717156519032322,1086,23724.58913015946,6446.19759845525
2h,0.05,MACD+ADX,0.0,0.1908636420018479,0.06228050844277799,0.5313489992118582,-0.5305354058952274,1752,23817.272840036956,2298.095947288207
1d,0.08,MACD-Only,0.0,0.19212434421841218,0.0621837909189602,1.0395729988594888,-0.42332683930239423,1085,23842.48688436824,1298.2377470576353
1d,0.05,MACD-Only,0.0,0.19162801192601875,0.062031960558194266,1.0202820225399223,-0.42447739109981186,1503,23832.560238520375,1604.9125459270538
1d,0.03,MACD+MA,0.001,0.17576229187463932,0.06111264998219523,1.0938893561176954,-0.40488849612358757,1171,23515.245837492785,4909.202930544461
2h,0.03,MACD+ADX,0.0,0.1854821902407695,0.06061768577966142,0.5391373733016184,-0.544661320340698,2046,23709.64380481539,2384.7198879469697
4h,0.1,MACD+ADX+MA,0.001,0.1807388430555139,0.060564313458731256,0.5859681211816589,-0.32531637362243737,556,23614.77686111028,3790.099127717863
1d,0.05,MACD+MA,0.001,0.17237358184144824,0.05999122958627545,1.1159089136748095,-0.4070721288566542,1040,23447.471636828963,4678.444132962188
4h,0.08,MACD+ADX,0.001,0.17757546836925964,0.05867997863419494,0.7003856669542414,-0.5587673666086965,892,23551.50936738519,5345.76389962406
