date,nav_mxn,cash_mxn,fees_mxn,traded_mxn,units_SPY,units_EFA,units_IEF,units_GLD
2006-01-03,199463.9935880831,20795.189615786134,536.0064119168909,178668.80397229697,47.5860349921157,105.15867695670894,135.47455415560663,48.7229352354392
2006-01-04,199778.29028772624,20795.189615786134,0.0,0.0,47.5860349921157,105.15867695670894,135.47455415560663,48.7229352354392
2006-01-05,199981.56486368136,20795.189615786134,0.0,0.0,47.5860349921157,105.15867695670894,135.47455415560663,48.7229352354392
2006-01-06,200248.49390058144,20795.189615786134,0.0,0.0,47.5860349921157,105.15867695670894,135.47455415560663,48.7229352354392
2006-01-09,201156.4206315495,20795.189615786134,0.0,0.0,47.5860349921157,105.15867695670894,135.47455415560663,48.7229352354392
2006-01-10,201123.31331887632,20795.189615786134,0.0,0.0,47.5860349921157,105.15867695670894,135.47455415560663,48.7229352354392
2006-01-11,201070.64316543267,20795.189615786134,0.0,0.0,47.5860349921157,105.15867695670894,135.47455415560663,48.7229352354392
2006-01-12,200556.58949762178,20795.189615786134,0.0,0.0,47.5860349921157,105.15867695670894,135.47455415560663,48.7229352354392
2006-01-13,201090.69055380445,20795.189615786134,0.0,0.0,47.5860349921157,105.15867695670894,135.47455415560663,48.7229352354392
2006-01-17,200809.8974745486,20795.189615786134,0.0,0.0,47.5860349921157,105.15867695670894,135.47455415560663,48.7229352354392
2006-01-18,199325.85700067214,20795.189615786134,0.0,0.0,47.5860349921157,105.15867695670894,135.47455415560663,48.7229352354392
2006-01-19,199470.47000073973,20795.189615786134,0.0,0.0,47.5860349921157,105.15867695670894,135.47455415560663,48.7229352354392
2006-01-20,198811.77256599322,20795.189615786134,0.0,0.0,47.5860349921157,105.15867695670894,135.47455415560663,48.7229352354392
2006-01-23,199501.77353799393,20795.189615786134,0.0,0.0,47.5860349921157,105.15867695670894,135.47455415560663,48.7229352354392
2006-01-24,198638.82435202604,20795.189615786134,0.0,0.0,47.5860349921157,105.15867695670894,135.47455415560663,48.7229352354392
2006-01-25,199136.70601932934,20795.189615786134,0.0,0.0,47.5860349921157,105.15867695670894,135.47455415560663,48.7229352354392
2006-01-26,199341.34195933238,20795.189615786134,0.0,0.0,47.5860349921157,105.15867695670894,135.47455415560663,48.7229352354392
