date,nav_mxn,cash_mxn,fees_mxn,traded_mxn,units_SPY,units_EFA,units_IEF,units_GLD
2006-01-03,199401.79461615154,0.0,598.2053838484546,199401.79461615154,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-04,199837.73343981983,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-05,199670.26621166797,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-06,200618.57694563523,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-09,201942.53652458824,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-10,201754.62361523972,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-11,202005.7823597548,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-12,201225.27019076742,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-13,202090.69967170042,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-17,201577.04606076845,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-18,199370.37041843115,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-19,200236.98393439798,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-20,199182.75845459173,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-23,200275.07873581257,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-24,199380.20448114077,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-25,200285.68776572074,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-26,200577.93974810344,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-27,199457.37016484403,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-30,200686.28129362408,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-01-31,200718.65381356966,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-02-01,200997.51976900437,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-02-02,201329.61332265666,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-02-03,200475.74162262207,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-02-06,200053.2622117409,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-02-07,198974.12470268822,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-02-08,199394.93371294253,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-02-09,199685.69366075823,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-02-10,198346.4854363102,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
2006-02-13,198168.79862865835,0.0,0.0,0.0,54.02484776151875,139.80260735977882,96.73736360528962,88.48290917434484
