date,nav_mxn,cash_mxn,fees_mxn,traded_mxn,units_SPY,units_EFA,units_IEF,units_GLD
2006-01-03,199401.79461615154,0.0,598.2053838484546,199401.79461615154,216.099391046075,0.0,0.0,0.0
2006-01-04,199873.79177436198,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-01-05,200944.50359705105,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-01-06,201234.88681843053,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-01-09,202076.77481685928,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-01-10,203208.43271704842,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-01-11,203192.7236109892,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-01-12,202139.10939556477,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-01-13,201505.80987306085,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-01-17,201319.59399589107,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-01-18,200278.6859273634,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-01-19,199869.7576914291,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-01-20,197099.5905457568,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-01-23,197526.00514174876,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-01-24,196668.1369216236,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-01-25,197449.98822116217,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-01-26,198323.8201205846,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-01-27,198520.9504109713,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-01-30,198728.61831252297,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-01-31,197529.60275986622,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-01,198841.74464331637,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-02,197729.86958846138,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-03,196570.27142679552,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-06,196482.8695737382,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-07,196466.9157501466,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-08,197866.7243088061,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-09,196525.63479546816,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-10,196995.93992049026,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-13,197885.58069431107,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-14,199253.35283083536,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-15,200421.3067663135,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-16,200772.26696198116,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-17,199425.36075100373,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-21,199683.06081228604,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-22,200626.68293398916,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-23,200350.92344081352,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-24,201237.60252555594,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-27,201132.9825704029,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-02-28,199417.9430458712,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-01,201021.8205841841,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-02,202067.86168286207,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-03,202127.90351453554,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-06,203436.55589683627,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-07,202435.42856761056,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-08,203833.00004532727,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-09,202418.8414504503,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-10,203597.4010858571,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-13,205105.31509421708,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-14,206066.62959742305,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-15,206612.24066752405,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-16,206712.1850913818,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-17,207264.22602857288,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-20,209320.73922993097,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-21,209336.68869025333,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-22,211312.16849828776,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-23,211388.13098187387,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-24,210473.9258139674,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-27,212355.7573097177,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-28,211901.95389004855,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-29,211907.04629838796,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-30,210874.84785569532,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-03-31,210169.209433278,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-04-03,209373.42801206553,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-04-04,212420.73704847845,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-04-05,214655.75363554418,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-04-06,215986.05128453785,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-04-07,214582.4384273601,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-04-10,214295.15626823853,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
2006-04-11,211136.64752912216,0.0,0.0,0.0,216.099391046075,0.0,0.0,0.0
