date,SPY,EFA,IEF,GLD,FX
2005-01-03,81.17459106445312,28.500858306884766,47.43886947631836,43.02000045776367,11.189000129699707
2005-01-04,80.18269348144531,27.95448875427246,47.143436431884766,42.7400016784668,11.347000122070312
2005-01-05,79.62943267822266,27.93656349182129,47.221458435058594,42.66999816894531,11.329999923706055
2005-01-06,80.03422546386719,27.93656349182129,47.26606750488281,42.150001525878906,11.357999801635742
2005-01-07,79.91951751708984,27.811176300048828,47.22706604003906,41.84000015258789,11.246000289916992
2005-01-10,80.29740905761719,27.93656349182129,47.221458435058594,41.95000076293945,11.211999893188477
2005-01-11,79.74408721923828,27.88282585144043,47.3162727355957,42.209999084472656,11.177000045776367
2005-01-12,80.00726318359375,28.106754302978516,47.388710021972656,42.599998474121094,11.14799976348877
2005-01-13,79.36622619628906,27.864910125732422,47.578189849853516,42.599998474121094,11.190999984741211
2005-01-14,79.78459930419922,27.999265670776367,47.5503044128418,42.31999969482422,11.187000274658203
2005-01-18,80.61454010009766,28.020767211914062,47.5335807800293,42.31999969482422,11.22700023651123
2005-01-19,79.7710952758789,27.730567932128906,47.56142807006836,42.2599983215332,11.218999862670898
2005-01-20,79.2852554321289,27.54605484008789,47.64506530761719,42.25,11.27400016784668
2005-01-21,78.79943084716797,27.655317306518555,47.73984146118164,42.7400016784668,11.234999656677246
2005-01-24,78.64423370361328,27.703691482543945,47.734222412109375,42.77000045776367,11.236000061035156
2005-01-25,78.8669204711914,27.712650299072266,47.55584716796875,42.2400016784668,11.272000312805176
2005-01-26,79.10308837890625,28.047636032104492,47.56702423095703,42.689998626708984,11.234000205993652
2005-01-27,79.23799133300781,28.08884048461914,47.494544982910156,42.619998931884766,11.258000373840332
2005-01-28,79.23799133300781,28.026140213012695,47.73984146118164,42.689998626708984,11.237000465393066
2005-01-31,79.7306137084961,28.160493850708008,47.75653076171875,42.220001220703125,11.154000282287598
2005-02-01,80.2366714477539,28.33604621887207,47.723506927490234,42.099998474121094,11.152999877929688
2005-02-02,80.47959899902344,28.375469207763672,47.72911834716797,42.15999984741211,11.121999740600586
2005-02-03,80.27043151855469,28.221393585205078,47.65081787109375,41.68000030517578,11.152000427246094
2005-02-04,81.1273422241211,28.366500854492188,47.896820068359375,41.470001220703125,11.109999656677246
2005-02-07,81.0193862915039,28.18736457824707,47.991844177246094,41.27000045776367,11.152999877929688
2005-02-08,81.11389923095703,28.18736457824707,48.03657531738281,41.2599983215332,11.1850004196167
2005-02-09,80.50659942626953,28.115707397460938,48.27132034301758,41.310001373291016,11.133000373840332
2005-02-10,80.79669952392578,28.407705307006836,47.969512939453125,41.75,11.145000457763672
2005-02-11,81.49173736572266,28.604766845703125,47.907962799072266,42.08000183105469,11.125
2005-02-14,81.4310073852539,28.826889038085938,47.969512939453125,42.54999923706055,11.151000022888184
