Date,strategy
2010-02-11,200000.0
2010-02-12,200051.8253968254
2010-02-15,199871.60410554925
2010-02-16,201767.95608136893
2010-02-17,202304.52767106422
2010-02-18,202937.8748844331
2010-02-19,203350.62332449623
2010-02-22,202858.39250563574
2010-02-23,201851.7378965322
2010-02-24,199985.2049938834
2010-02-25,200071.5656985508
2010-02-26,201010.3545559494
2010-03-01,201564.87522753116
2010-03-02,202799.34871954087
2010-03-03,202836.6072767154
2010-03-04,201648.4719834013
2010-03-05,202320.971579713
2010-03-08,203600.61370788276
2010-03-09,203404.27291149792
2010-03-10,201786.28415357677
2010-03-11,202066.24238429827
2010-03-12,200732.68375368934
2010-03-16,200326.31758171855
2010-03-17,201512.59813021513
2010-03-18,201830.3910625668
2010-03-19,202199.50676431676
2010-03-22,202895.36342816282
2010-03-23,203138.82398166333
2010-03-24,202058.0607479124
2010-03-25,200229.77063280248
2010-03-26,199758.4897930672
2010-03-29,199656.98990142718
2010-03-30,199861.94613759467
2010-03-31,199482.53231523433
2010-04-05,200241.26009716492
2010-04-06,201774.21344936037
2010-04-07,200324.2441754455
2010-04-08,199783.70540781494
2010-04-09,200287.45189485804
2010-04-12,200348.38007489077
2010-04-13,200588.52670549692
2010-04-14,202031.39203283328
2010-04-15,201258.48682810785
2010-04-16,200980.9242504706
2010-04-19,200663.80909084735
2010-04-20,200274.1496269561
2010-04-21,199234.8994728143
2010-04-22,198653.4633129408
2010-04-23,198704.93978577547
2010-04-26,198643.48623506585
2010-04-27,198229.10164112906
2010-04-28,198925.66537245884
2010-04-29,199234.43657785474
2010-04-30,199047.21182201273
2010-05-04,198974.47302458572
2010-05-05,198582.41321380308
2010-05-06,198468.53432178812
2010-05-07,196819.75309242774
2010-05-10,196870.75440146317
2010-05-11,196921.76892631405
2010-05-12,196972.7966704049
2010-05-13,197023.8376371612
2010-05-14,197074.89183000923
2010-05-17,197125.95925237628
2010-05-18,197177.0399076905
2010-05-19,197228.13379938086
2010-05-20,197279.2409308773
2010-05-21,197330.36130561057
2010-05-24,197381.4949270124
2010-05-25,197432.6417985153
2010-05-26,197483.8019235528
2010-05-27,197534.97530555914
2010-05-28,197466.82992841196
2010-05-31,197030.37700219944
2010-06-01,195689.44364751066
2010-06-02,196307.10670474722
2010-06-03,195707.3943066539
2010-06-04,195397.96320518668
2010-06-07,195426.95449762736
2010-06-08,195325.07638224796
2010-06-09,195742.5401877028
2010-06-10,195285.27567261923
2010-06-11,195223.63642958074
2010-06-14,194902.90053112118
2010-06-15,195562.03530674265
2010-06-16,195976.82089945432
2010-06-17,195975.4773640687
2010-06-18,195745.2886515869
2010-06-21,195838.327691818
2010-06-22,194031.38222289996
2010-06-23,194947.0808694314
2010-06-24,194198.42850870237
2010-06-25,194248.75056180402
2010-06-28,194299.0856547075
2010-06-29,194349.43379079187
2010-06-30,194399.79497343686
2010-07-01,194450.16920602322
2010-07-02,194500.55649193257
2010-07-05,194550.95683454737
2010-07-06,194601.3702372509
2010-07-07,194651.79670342748
2010-07-08,194702.23623646214
2010-07-09,194752.68883974088
2010-07-12,194679.73126226355
2010-07-13,194359.89865740176
2010-07-14,194579.82204781036
2010-07-15,194795.9727036213
2010-07-16,194980.5950738521
2010-07-19,194203.7787101071
2010-07-20,193520.3244375795
2010-07-21,194508.4438232517
2010-07-22,194424.9188400534
2010-07-23,195760.87316913158
2010-07-26,196067.4835083418
2010-07-27,194789.5993367479
2010-07-28,195144.52909677147
2010-07-29,195414.18066479487
2010-07-30,194377.5795961818
2010-08-02,195157.09471901355
2010-08-03,194796.5745453783
2010-08-04,194511.6982778011
2010-08-05,194715.34682741313
2010-08-06,196169.1216862558
2010-08-09,195379.56408020394
2010-08-10,194358.11518571206
2010-08-11,193564.2587822449
2010-08-12,192861.2487700415
2010-08-13,192953.7734966543
2010-08-16,192385.46506951522
2010-08-17,192435.3173348686
2010-08-18,192485.18251828908
2010-08-19,192535.06062312418
2010-08-20,192584.95165272217
2010-08-23,192518.67640266026
2010-08-24,192181.76226796978
2010-08-25,192860.15259165573
2010-08-26,192893.2909627517
2010-08-27,193137.96133349402
2010-08-30,193704.31500923174
2010-08-31,193756.62210275696
2010-09-01,193735.43426135724
2010-09-02,194409.2322797966
2010-09-03,193922.48207664856
2010-09-06,193310.27198682248
2010-09-07,193917.48546649393
2010-09-08,193643.13323350612
2010-09-09,193200.0979279699
2010-09-10,192429.48732713814
2010-09-13,191734.33120413125
2010-09-14,192505.3358229359
2010-09-15,192351.19955179872
2010-09-20,193407.21021531837
2010-09-21,193207.26452349196
2010-09-22,193475.99400407076
2010-09-23,193749.86035728938
2010-09-24,193446.12310480681
2010-09-27,193256.28552156215
2010-09-28,193097.5244454214
2010-09-29,192806.21786554522
2010-09-30,193452.0435099341
2010-10-01,195954.50491390773
2010-10-04,197213.8051968173
2010-10-05,196523.33999552968
2010-10-06,196992.19227239199
2010-10-07,197154.67700029069
2010-10-08,198523.60290172906
2010-10-11,199126.75970127113
2010-10-12,198625.04767330614
2010-10-13,199345.43197319855
2010-10-14,199518.79085315103
2010-10-15,199211.8047814611
2010-10-18,199214.37829801324
2010-10-19,200118.80280785897
2010-10-20,196348.67061286638
2010-10-21,197172.07890232975
2010-10-22,197609.27257561235
2010-10-25,196850.07961726698
2010-10-26,196705.82193383758
2010-10-27,196994.54274974312
2010-10-28,197262.38610672762
2010-10-29,197330.05938546927
2010-11-01,197435.44135047996
2010-11-03,196441.99314645462
2010-11-04,196423.8709596161
2010-11-05,196123.64336656508
2010-11-08,197769.75424600372
2010-11-09,197174.55874124056
2010-11-10,196239.75332974002
2010-11-11,196047.29058522632
2010-11-12,195030.48042033374
2010-11-16,194556.0682802453
2010-11-17,194255.21673655012
2010-11-18,194305.553505014
2010-11-19,194355.9033170929
2010-11-22,194406.26617616674
2010-11-23,194340.1384483438
2010-11-24,194637.95779971653
2010-11-25,194403.88310029893
2010-11-26,195753.71779586608
2010-11-29,195445.34928347467
2010-11-30,194931.11299549846
2010-12-01,194941.08984899468
2010-12-02,193784.2063629574
2010-12-03,193677.0856531979
2010-12-06,193422.83683175492
2010-12-07,194724.034914574
2010-12-08,193552.44517612
2010-12-09,194408.758060635
2010-12-10,194857.29605757064
2010-12-13,196006.76186814098
2010-12-14,196224.99133089534
2010-12-15,195358.13376660837
2010-12-16,195150.99127947562
2010-12-17,195668.62863001088
2010-12-20,196157.3798108357
2010-12-21,197924.50776837164
2010-12-22,197018.59644642338
2010-12-23,197417.84389518475
2010-12-27,197570.51988235652
2010-12-28,197683.3739754039
2010-12-29,198265.57585378477
2010-12-30,198195.2031979433
2011-01-03,198709.3354585634
2011-01-04,197725.60630100273
2011-01-05,197271.10378405315
2011-01-06,196106.1478048049
2011-01-07,196465.42428839958
2011-01-10,196272.65918888134
2011-01-11,195270.5954872442
2011-01-12,195105.69965313651
2011-01-13,195217.88945500375
2011-01-14,195268.47567794585
2011-01-17,195319.07500914336
2011-01-18,195369.68745199297
2011-01-19,195420.3130098922
2011-01-20,195470.95168623966
2011-01-21,195521.60348443454
2011-01-24,195572.26840787713
2011-01-25,195622.94645996855
2011-01-26,195673.63764411074
2011-01-27,195724.34196370663
2011-01-28,195775.05942215995
2011-01-31,195825.79002287527
2011-02-01,195876.5337692582
2011-02-02,195927.29066471508
2011-02-03,195862.37441958644
2011-02-04,195781.15044977042
2011-02-08,196420.206058996
2011-02-09,194738.23824685832
2011-02-10,194011.94816562888
2011-02-11,194175.463827474
2011-02-14,194225.7799298071
2011-02-15,194276.1090704
2011-02-16,194326.45125263135
2011-02-17,194376.80647988053
2011-02-18,194427.17475552793
2011-02-21,194364.9127664385
2011-02-22,194563.94309713267
2011-02-23,194372.76751304572
2011-02-24,194636.6753482002
2011-02-25,194871.07372717885
2011-02-28,194355.7805287646
2011-03-01,194795.5784996124
2011-03-02,195700.7844222705
2011-03-03,196202.74900268315
2011-03-04,195946.11034643004
2011-03-07,195611.55396290324
2011-03-08,195640.63085971022
2011-03-09,195066.17209772367
2011-03-10,194966.5041340376
2011-03-11,194978.7218186647
2011-03-14,195314.82214060193
2011-03-15,195109.93156406868
2011-03-16,194591.6513900342
2011-03-17,194027.34016685997
2011-03-18,194077.6178863556
2011-03-22,194127.90863416504
2011-03-23,194178.21241366433
2011-03-24,194113.58246373094
2011-03-25,194295.93658848086
2011-03-28,193768.449900947
2011-03-29,193597.84028523293
2011-03-30,193731.04724596508
2011-03-31,193874.51473197617
2011-04-01,193611.1429900615
2011-04-04,194461.5960356813
2011-04-05,194247.54135424658
