Date,NAV,CASH_MXN,QQQ_BH,VTTL,CARA,TSMOM,CASH_USD
2007-04-11,200000.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2007-04-12,200193.69256202277,0.16665996435900454,0.16672209316643893,0.16665996435900454,0.16665996435900454,0.16665996435900454,0.1666380493975429
2007-04-13,200117.0258283079,0.16666619499133836,0.16673112709500326,0.16666619499133836,0.16666619499133836,0.16666619499133836,0.1666040929396432
2007-04-16,200612.22459078894,0.1666461806911053,0.16679964032860659,0.1666461806911053,0.1666543036230033,0.1666461806911053,0.16660751397507442
2007-04-17,200786.91492649989,0.16664080181972113,0.16681483827744334,0.16664080181972113,0.16665189424314403,0.16664080181972113,0.16661086202024938
2007-04-18,200664.53083015422,0.16664855366837333,0.16678731938725835,0.16664855366837333,0.1666566693363021,0.16664855366837333,0.16661035027131949
2007-04-19,200720.1997575813,0.16664883496905544,0.16680790816287197,0.16664883496905544,0.16665118620454505,0.16664883496905544,0.16659440072541667
2007-04-20,200876.5226308857,0.16664478732794713,0.16684674304063998,0.16664478732794713,0.1666422543796252,0.16664478732794713,0.16657664059589342
2007-04-23,201091.97848005733,0.16663748339469192,0.16685722900937433,0.16663748339469192,0.16664164171598345,0.16663748339469192,0.16658867909056654
2007-04-24,201387.01945145786,0.16662712906236885,0.1668936818679387,0.16662712906236885,0.16663519753686795,0.16662712906236885,0.16658973340808694
2007-04-25,201675.96169762197,0.16661884666784696,0.1669889280690767,0.16661884666784696,0.16661290640549445,0.16661884666784696,0.16654162552188806
2007-04-26,202014.2745995655,0.16660706464775366,0.1670260797572202,0.16660706464775366,0.16660670633101024,0.16660706464775366,0.16654601996850865
2007-04-27,201712.188783745,0.1666236183325333,0.16702332463927744,0.1666236183325333,0.1666024811825573,0.1666236183325333,0.16650333918056545
2007-04-30,201722.2042734325,0.1666225712016533,0.16692456084164486,0.1666225712016533,0.16662839875486135,0.1666225712016533,0.16657932679853393
2007-05-01,201539.5443047356,0.16663338271336803,0.1669138569779528,0.16663338271336803,0.16662791649276887,0.16663338271336803,0.16655807838917425
2007-05-02,201866.35140096562,0.16662296218293512,0.1669919492362112,0.16662296218293512,0.1666106967653035,0.16662296218293512,0.16652846744967997
2007-05-03,202049.3711041348,0.16661795008356461,0.1670167823829352,0.16661795008356461,0.1666056819468927,0.16661795008356461,0.1665236854194782
2007-05-04,201730.58566234173,0.16663534456901943,0.16701699321886665,0.16663534456901943,0.16660044292580542,0.16663534456901943,0.16647653014826957
2007-05-07,201742.07775807218,0.1666372946125769,0.16701387175403232,0.1666372946125769,0.16660061298191498,0.1666372946125769,0.16647363142632204
2007-05-08,201918.93015250994,0.1666321669012752,0.16702765192692115,0.1666321669012752,0.16659850084371924,0.1666321669012752,0.16647734652553406
2007-05-09,201773.27275775978,0.1666418743846303,0.16703850940694107,0.1666418743846303,0.1665927593231726,0.1666418743846303,0.1664431081159957
2007-05-10,201584.84858449522,0.1666496330632232,0.16693399778482174,0.1666496330632232,0.1666175281156806,0.1666496330632232,0.16649957490982814
2007-05-11,201696.1033901786,0.16664959681774882,0.16702326133956413,0.16664959681774882,0.16659436330655175,0.16664959681774882,0.16643358490063775
2007-05-14,201394.10430373103,0.16666427079970064,0.16696794278212135,0.16666427079970064,0.1666042969777101,0.16666427079970064,0.16643494784106666
2007-05-15,201416.6394817674,0.16666400434705242,0.16690880597109392,0.16666400434705242,0.16661967666194585,0.16666400434705242,0.166479504325803
2007-05-16,201661.01678599574,0.16665694935629774,0.16697814060184332,0.16665694935629774,0.16660373150677626,0.16665694935629774,0.16644727982248714
