date,nav,cash,equities,daily_ret
2022-12-20,240803.31666154962,3213.363704655254,237589.95295689435,0.0026638235979343783
2022-12-21,242595.23402654857,3213.946573127237,239381.28745342133,0.007441414802095592
2022-12-22,240185.99957131952,3214.529547325085,236971.47002399445,-0.009931087331111366
2022-12-23,243087.54409705618,3215.112627267975,239872.4314697882,0.012080406563726775
2022-12-26,242834.99746391052,3215.695812975088,239619.30165093543,-0.0010389122736984557
2022-12-27,242497.5021288501,3216.2791044656083,239281.22302438447,-0.0013898134065728485
2022-12-28,239755.64034632136,3216.8625017587237,236538.77784456263,-0.011306762991199149
2022-12-29,239410.1986713066,3217.446004873626,236192.75266643296,-0.0014408072924406712
2022-12-30,237828.64071915575,3218.02961382951,234610.61110532624,-0.006606059227753369
2023-01-02,240215.44936395125,5218.976106423352,234996.4732575279,0.010035833521051751
2023-01-03,238522.29575960748,5219.922770700434,233302.37298890704,-0.007048479224908033
2023-01-04,242725.25416542063,5220.869606691897,237504.38455872872,0.0176208198584884
2023-01-05,241893.28990520473,5221.816614428889,236671.47329077584,-0.003427596617733508
2023-01-06,247931.05609937463,5222.763793942561,242708.29230543209,0.024960453415371786
2023-01-09,247488.75873833225,6053.6604178223715,241435.0983205099,-0.0017839530392074199
2023-01-10,249606.5782177483,6054.758484559271,243551.819733189,0.008557235044583056
2023-01-11,251504.1021986464,6055.8567504732755,245448.24544817314,0.007602059186287757
2023-01-12,252131.36783200232,6056.955215600514,246074.4126164018,0.0024940572653582294
2023-01-13,251978.1080014305,6058.053879977121,245920.05412145337,-0.0006078570543984751
2023-01-16,253964.94519646428,6059.152743639239,247905.79245282503,0.00788495957364077
2023-01-17,252283.78818405495,6060.251806623016,246223.53637743194,-0.006619641978970026
2023-01-18,249150.86141812804,6061.351068964606,243089.51034916344,-0.012418264322403783
2023-01-19,249947.65833698047,6062.450530700171,243885.2078062803,0.0031980500260653244
2023-01-20,254206.56965688072,6063.550191865878,248143.01946501483,0.017039212722522734
2023-01-23,255417.85017749367,6064.650052497903,249353.20012499578,0.0047649457771603565
2023-01-24,258400.27105376686,6065.750112632425,252334.52094113443,0.011676634480325632
2023-01-25,261292.347958582,6066.850372305633,255225.49758627635,0.011192236343333217
2023-01-26,265719.7553125908,6067.9508315537205,259651.80448103708,0.016944267172763094
2023-01-27,262572.9877179871,6069.051490412889,256503.93622757422,-0.011842429972516944
2023-01-30,262378.29840705014,6070.152348919344,256308.1460581308,-0.0007414674016127387
2023-01-31,265462.3998473728,6071.2534071093005,259391.1464402635,0.011754407506439524
2023-02-01,266003.9429211022,8072.717442796757,257931.22547830548,0.002039999163877093
2023-02-02,257390.83456408643,8074.181744044019,249316.65282004242,-0.03237962664173921
2023-02-03,258780.57803861983,8075.646310899258,250704.93172772057,0.005399351056486035
