Date,nav,benchmark,position,hurst_raw,hurst_smoothed,qqq_mxn,usd_mxn
2010-05-20,203554.8941993655,206118.42281747865,0,0.5,0.5,-0.014131684966880886,13.111300468444824
2010-05-21,203607.64076520366,205679.37271909358,0,0.5,0.5,-0.002130086638465478,12.940400123596191
2010-05-24,203660.40099910035,206112.25776593134,0,0.5,0.5,0.002104659505301809,13.01990032196045
2010-05-25,203713.17490459734,205935.57713990746,0,0.5,0.5,-0.0008572058156023354,12.997099876403809
2010-05-26,203765.9624852373,204899.54908474543,0,0.5,0.5,-0.005030835708674908,13.07800006866455
2010-05-27,203818.76374456385,208057.68457425563,0,0.5,0.5,0.015413091456848438,12.796099662780762
2010-05-28,203871.57868612147,209107.24976785725,0,0.5,0.5,0.005044587493844954,12.936800003051758
2010-06-01,203924.40731345562,207592.797787676,0,0.5,0.5,-0.007242465203203263,12.962499618530273
2010-06-02,203977.24963011264,209341.9216742595,0,0.5,0.5,0.008425744559656945,12.76930046081543
2010-06-03,204030.1056396398,211014.06444317708,0,0.5,0.5,0.007987615454870367,12.75
2010-06-04,204082.97534558532,207016.35095679315,0,0.5,0.5,-0.018945246597344423,12.952300071716309
2010-06-07,204135.85875149828,203689.34529239428,0,0.5,0.5,-0.01607122166448216,12.980199813842773
2010-06-08,204188.75586092874,201286.53052339546,0,0.5,0.5,-0.011796467633344299,12.850299835205078
2010-06-09,204241.66667742762,199675.62284713995,0,0.5,0.5,-0.008003057492554255,12.85509967803955
2010-06-10,204294.59120454683,202649.30848784273,0,0.5,0.5,0.014892582270692456,12.684700012207031
2010-06-11,204347.5294458391,204016.6788381063,0,0.5,0.5,0.006747471089177726,12.6496000289917
2010-06-14,204400.4814048582,204512.01983179327,0,0.5,0.5,0.0024279436196490423,12.683099746704102
2010-06-15,204453.44708515875,208155.66990475522,0,0.5,0.5,0.01781631258621763,12.571900367736816
2010-06-16,204506.4264902963,209321.6630908291,0,0.5,0.5,0.0056015442029870854,12.591099739074707
2010-06-17,204559.4196238273,209819.21103250407,0,0.5,0.5,0.0023769538915763277,12.58080005645752
2010-06-18,204612.4264893092,209309.0560713164,0,0.5,0.5,-0.002431402533053406,12.539799690246582
2010-06-21,204665.4470903003,207416.8665658016,0,0.5,0.5,-0.009040170267979541,12.533100128173828
2010-06-22,204718.4814303598,207143.0172890175,0,0.5,0.5,-0.0013202845135895647,12.61400032043457
2010-06-23,204771.5295130479,206445.6157330056,0,0.5,0.5,-0.003366763529561001,12.62339973449707
2010-06-24,204824.59134192567,204771.51903155158,0,0.5,0.5,-0.00810914145844166,12.714300155639648
2010-06-25,204877.66692055514,203621.72108637646,0,0.5,0.5,-0.0056150286456485565,12.640399932861328
2010-06-28,204930.75625249924,204247.19298070818,0,0.5,0.5,0.0030717346410522595,12.724200248718262
2010-06-29,204983.8593413218,198958.57382627306,0,0.5,0.5,-0.025893228089233222,12.892000198364258
2010-06-30,205036.97619058762,196503.74189115883,0,0.5,0.5,-0.012338407377496252,12.929699897766113
2010-07-01,205090.1068038624,197062.48175657538,0,0.5,0.5,0.002843405728762294,13.003000259399414
2010-07-02,205143.25118471278,197642.1574321554,0,0.5,0.5,0.0029415831487196176,13.078100204467773
2010-07-06,205196.40933670627,196441.79828238275,0,0.5,0.5,-0.006073396310626089,12.958999633789062
2010-07-07,205249.58126341138,200803.2044620005,0,0.44810065505007374,0.4896201310100148,0.02220202735747856,12.836899757385254
2010-07-08,205302.7669683975,200782.82193432143,0,0.44237405194742685,0.47809494139950015,-0.00010150499208250174,12.765899658203125
2010-07-09,205355.96645523497,202690.68559954758,0,0.43395546482881364,0.4648860343652628,0.009502125962998154,12.765899658203125
2010-07-12,205409.179727495,204123.6869764098,0,0.425008146002761,0.449887663565815,0.007069892593354776,12.81879997253418
2010-07-13,205462.4067887498,204417.40363997532,0,0.41746731399397463,0.43338112636460996,0.0014389151397184996,12.67300033569336
2010-07-14,205515.64764257244,205957.17686593204,0,0.40871938971101884,0.425504873296799,0.007532495758866942,12.704000473022461
2010-07-15,205568.90229253698,207087.24053569522,0,0.40030804167065026,0.4170916712414437,0.005486886579819439,12.762499809265137
2010-07-16,205622.17074221835,203716.02009039064,0,0.3926994733967553,0.408840472955032,-0.016279228196695694,12.911499977111816
2010-07-19,205675.45299519243,205136.34640911248,0,0.38284453718405814,0.40040775119129146,0.006972089470880238,12.891039848327637
2010-07-20,205728.74905503602,205378.9643290663,0,0.3746338432636795,0.39184105704523237,0.001182715419284941,12.752300262451172
2010-07-21,205782.05892532688,204147.60105661556,0,0.3681432259794125,0.3837258242989111,-0.005995566666106122,12.851900100708008
2010-07-22,205835.38260964365,207667.20434980173,0,0.362213071891524,0.3761068303430859,0.017240483233550652,12.750699996948242
2010-07-23,205888.72011156593,208679.65220479367,0,0.3604207405290445,0.36965108376954375,0.004875338203554458,12.732199668884277
2010-07-26,205942.0714346742,209408.18299167746,0,0.35925158706043947,0.36493249374482,0.003491144341034369,12.672100067138672
2010-07-27,205995.43658254994,209331.19674638862,0,0.36193292910406777,0.36239231091289764,-0.00036763723455779385,12.672900199890137
2010-07-28,206048.8155587755,208193.4719673271,0,0.36754643932659836,0.3622729535823348,-0.005435046456262027,12.705289840698242
2010-07-29,206102.20836693418,206818.94175794357,0,0.37275426561723884,0.3643811923274778,-0.00660217727479584,12.715290069580078
2010-07-30,206155.61501061023,205930.01305965747,0,0.3754474683565478,0.3673865378929785,-0.004298100989833298,12.633000373840332
2010-08-02,206209.03549338877,208712.93595849737,0,0.3778671236036209,0.37110964520161477,0.013513925714333297,12.567790031433105
