Date,NAV,Regime
2026-04-13 09:30:00,200005.79975579976,0
2026-04-13 10:30:00,200005.79975579976,0
2026-04-13 11:30:00,200005.79975579976,0
2026-04-13 12:30:00,200946.25473921178,0
2026-04-13 13:30:00,200331.33974264856,0
2026-04-13 14:30:00,201606.01375549525,0
2026-04-13 15:30:00,203279.27521377493,0
2026-04-14 09:30:00,208994.52871243688,2
2026-04-14 10:30:00,208994.52871243688,2
2026-04-14 11:30:00,208994.52871243688,2
2026-04-14 12:30:00,208634.3218396719,2
2026-04-14 13:30:00,209430.1439789149,2
2026-04-14 14:30:00,207627.59686311882,2
2026-04-14 15:30:00,207252.0676465249,2
2026-04-15 09:30:00,207258.07770343163,0
2026-04-15 10:30:00,207258.07770343163,0
2026-04-15 11:30:00,207258.07770343163,0
2026-04-15 12:30:00,207258.07770343163,0
2026-04-15 13:30:00,207258.07770343163,0
2026-04-15 14:30:00,207258.07770343163,0
2026-04-15 15:30:00,207827.28334209212,0
2026-04-16 09:30:00,207625.81963397271,2
2026-04-16 10:30:00,209946.00498495344,2
2026-04-16 11:30:00,209946.00498495344,2
2026-04-16 12:30:00,210798.70627587318,2
2026-04-16 13:30:00,213143.63791088422,2
2026-04-16 14:30:00,213143.63791088422,2
2026-04-16 15:30:00,213143.63791088422,2
2026-04-17 09:30:00,213149.818816135,0
2026-04-17 10:30:00,213149.818816135,0
2026-04-17 11:30:00,213149.818816135,0
2026-04-17 12:30:00,213149.818816135,0
2026-04-17 13:30:00,213149.818816135,0
2026-04-17 14:30:00,213149.818816135,0
2026-04-17 15:30:00,213149.818816135,0
2026-04-20 09:30:00,213155.99990062448,2
2026-04-20 10:30:00,213155.99990062448,2
2026-04-20 11:30:00,213155.99990062448,2
2026-04-20 12:30:00,213155.99990062448,2
2026-04-20 13:30:00,213155.99990062448,2
2026-04-20 14:30:00,213155.99990062448,2
2026-04-20 15:30:00,213155.99990062448,2
2026-04-21 09:30:00,213162.18116435784,0
2026-04-21 10:30:00,213162.18116435784,0
2026-04-21 11:30:00,213162.18116435784,0
2026-04-21 12:30:00,213162.18116435784,0
2026-04-21 13:30:00,213162.18116435784,0
2026-04-21 14:30:00,213162.18116435784,0
2026-04-21 15:30:00,213162.18116435784,0
2026-04-22 09:30:00,213168.36260734033,2
2026-04-22 10:30:00,213168.36260734033,2
2026-04-22 11:30:00,213168.36260734033,2
2026-04-22 12:30:00,213168.36260734033,2
2026-04-22 13:30:00,213168.36260734033,2
2026-04-22 14:30:00,213168.36260734033,2
2026-04-22 15:30:00,213168.36260734033,2
2026-04-23 09:30:00,213174.5442295771,0
2026-04-23 10:30:00,213174.5442295771,0
2026-04-23 11:30:00,213174.5442295771,0
2026-04-23 12:30:00,213174.5442295771,0
2026-04-23 13:30:00,213174.5442295771,0
2026-04-23 14:30:00,213174.5442295771,0
2026-04-23 15:30:00,213174.5442295771,0
2026-04-24 09:30:00,213180.72603107337,2
2026-04-24 10:30:00,213180.72603107337,2
2026-04-24 11:30:00,213180.72603107337,2
2026-04-24 12:30:00,213180.72603107337,2
2026-04-24 13:30:00,213180.72603107337,2
2026-04-24 14:30:00,213180.72603107337,2
2026-04-24 15:30:00,213180.72603107337,2
2026-04-27 09:30:00,213186.90801183434,0
2026-04-27 10:30:00,213186.90801183434,0
2026-04-27 11:30:00,213186.90801183434,0
2026-04-27 12:30:00,213186.90801183434,0
2026-04-27 13:30:00,213186.90801183434,0
2026-04-27 14:30:00,213186.90801183434,0
2026-04-27 15:30:00,213186.90801183434,0
2026-04-28 09:30:00,213193.09017186522,2
2026-04-28 10:30:00,213193.09017186522,2
2026-04-28 11:30:00,213193.09017186522,2
2026-04-28 12:30:00,213193.09017186522,2
2026-04-28 13:30:00,213193.09017186522,2
2026-04-28 14:30:00,213193.09017186522,2
2026-04-28 15:30:00,213193.09017186522,2
2026-04-29 09:30:00,213199.27251117118,0
2026-04-29 10:30:00,213199.27251117118,0
2026-04-29 11:30:00,213199.27251117118,0
2026-04-29 12:30:00,213199.27251117118,0
2026-04-29 13:30:00,213199.27251117118,0
2026-04-29 14:30:00,213199.27251117118,0
2026-04-29 15:30:00,213199.27251117118,0
2026-04-30 09:30:00,213205.45502975743,2
2026-04-30 10:30:00,213205.45502975743,2
2026-04-30 11:30:00,213205.45502975743,2
2026-04-30 12:30:00,213205.45502975743,2
2026-04-30 13:30:00,211062.83808963874,2
2026-04-30 14:30:00,210439.39890258477,2
2026-04-30 15:30:00,210696.68238849376,2
2026-05-01 09:30:00,210702.79233502212,0
2026-05-01 10:30:00,210702.79233502212,0
2026-05-01 11:30:00,210702.79233502212,0
2026-05-01 12:30:00,210702.79233502212,0
2026-05-01 13:30:00,210702.79233502212,0
2026-05-01 14:30:00,210702.79233502212,0
2026-05-01 15:30:00,210702.79233502212,0
2026-05-04 09:30:00,210708.90245873146,2
2026-05-04 10:30:00,210708.90245873146,2
2026-05-04 11:30:00,210708.90245873146,2
2026-05-04 12:30:00,210708.90245873146,2
2026-05-04 13:30:00,210708.90245873146,2
2026-05-04 14:30:00,210708.90245873146,2
2026-05-04 15:30:00,210708.90245873146,2
2026-05-05 09:30:00,210715.01275962693,0
2026-05-05 10:30:00,210715.01275962693,0
2026-05-05 11:30:00,210715.01275962693,0
2026-05-05 12:30:00,210715.01275962693,0
2026-05-05 13:30:00,210715.01275962693,0
2026-05-05 14:30:00,210715.01275962693,0
2026-05-05 15:30:00,210715.01275962693,0
2026-05-06 09:30:00,210721.12323771368,2
2026-05-06 10:30:00,210721.12323771368,2
2026-05-06 11:30:00,210785.00920818935,2
2026-05-06 12:30:00,210600.71013562128,2
2026-05-06 13:30:00,209535.8189701334,2
2026-05-06 14:30:00,208266.16147325546,2
2026-05-06 15:30:00,207836.09905620656,2
2026-05-07 09:30:00,207842.12604931105,0
2026-05-07 10:30:00,207842.12604931105,0
2026-05-07 11:30:00,207842.12604931105,0
2026-05-07 12:30:00,207842.12604931105,0
2026-05-07 13:30:00,207842.12604931105,0
2026-05-07 14:30:00,207842.12604931105,0
2026-05-07 15:30:00,207842.12604931105,0
2026-05-08 09:30:00,207848.153217191,2
2026-05-08 10:30:00,207848.153217191,2
2026-05-08 11:30:00,207848.153217191,2
2026-05-08 12:30:00,207848.153217191,2
2026-05-08 13:30:00,208253.52872101573,2
2026-05-08 14:30:00,208778.27655953332,2
2026-05-08 15:30:00,207028.22742138032,2
2026-05-11 09:30:00,207034.23098719382,0
2026-05-11 10:30:00,207034.23098719382,0
2026-05-11 11:30:00,207034.23098719382,0
2026-05-11 12:30:00,207034.23098719382,0
2026-05-11 13:30:00,207034.23098719382,0
2026-05-11 14:30:00,207034.23098719382,0
2026-05-11 15:30:00,207034.23098719382,0
2026-05-12 09:30:00,207040.2347271034,2
2026-05-12 10:30:00,207040.2347271034,2
2026-05-12 11:30:00,206330.85768124147,2
2026-05-12 12:30:00,207330.23951404926,2
2026-05-12 13:30:00,209388.50790909084,2
2026-05-12 14:30:00,209388.50790909084,2
2026-05-12 15:30:00,209388.50790909084,2
2026-05-13 09:30:00,209394.57992015657,0
2026-05-13 10:30:00,209394.57992015657,0
2026-05-13 11:30:00,209394.57992015657,0
2026-05-13 12:30:00,210324.61024261688,0
2026-05-13 13:30:00,211475.46533317072,0
2026-05-13 14:30:00,211010.31942903466,0
2026-05-13 15:30:00,210055.56001979805,0
2026-05-14 09:30:00,212969.41802326735,2
2026-05-14 10:30:00,212969.41802326735,2
2026-05-14 11:30:00,212969.41802326735,2
2026-05-14 12:30:00,212969.41802326735,2
2026-05-14 13:30:00,212969.41802326735,2
2026-05-14 14:30:00,212969.41802326735,2
2026-05-14 15:30:00,212969.41802326735,2
2026-05-15 09:30:00,212975.5938763541,0
2026-05-15 10:30:00,212975.5938763541,0
2026-05-15 11:30:00,212975.5938763541,0
2026-05-15 12:30:00,212975.5938763541,0
2026-05-15 13:30:00,212975.5938763541,0
2026-05-15 14:30:00,212975.5938763541,0
2026-05-15 15:30:00,212975.5938763541,0
2026-05-18 09:30:00,212981.76990853305,2
2026-05-18 10:30:00,212981.76990853305,2
2026-05-18 11:30:00,211307.35651445723,2
2026-05-18 12:30:00,213977.63373099698,2
2026-05-18 13:30:00,211608.41257935896,2
2026-05-18 14:30:00,212210.54468236378,2
2026-05-18 15:30:00,215755.98766522727,2
