Date,nav,benchmark,position,qqq_mxn,usd_mxn
2010-02-11,200000.0,200000.0,0,0.0,12.934000015258789
2010-02-12,200051.8253968254,200407.60190197022,0,0.002038009509851113,12.933699607849121
2010-02-16,200103.6642230096,201508.0414989343,0,0.005491007259806224,12.840399742126465
2010-02-17,200155.5164820325,203130.6477022888,0,0.008052314891676904,12.871190071105957
2010-02-18,200207.38217737485,204680.0418330825,0,0.007627574412427007,12.888400077819824
2010-02-19,200259.26131251844,203185.5728314653,0,-0.0073014886465381235,12.800000190734863
2010-02-22,200311.15389094586,202863.08941589258,0,-0.0015871373694441582,12.805399894714355
2010-02-23,200363.05991614063,202054.9014041382,0,-0.003983908625671773,12.921899795532227
2010-02-24,200414.97939158714,202224.60114090162,0,0.0008398694393658701,12.802289962768555
2010-02-25,200466.91232077076,202032.51827602898,0,-0.0009498491468840076,12.793000221252441
2010-02-26,200518.8587071777,202367.47055701652,0,0.0016579127154665585,12.768400192260742
2010-03-01,200570.81855429505,204677.58361134146,0,0.011415436719974581,12.729299545288086
2010-03-02,200622.79186561093,205297.1723270359,0,0.003027144960197292,12.728599548339844
2010-03-03,200674.7786446142,205046.26183313847,0,-0.0012221819280477941,12.69909954071045
2010-03-04,200726.77889479476,205856.80458428204,0,0.003952975020842686,12.707500457763672
2010-03-05,200778.7926196433,207590.11169147244,0,0.008419965085393777,12.624099731445312
2010-03-08,200830.81982265148,208679.4202799887,0,0.0052474011389098685,12.665800094604492
2010-03-09,200882.86050731188,209146.34883928302,0,0.002237540044283337,12.623600006103516
2010-03-10,200934.91467711795,210230.31400090555,0,0.005182807003986989,12.586799621582031
2010-03-11,200986.98233556404,210712.1986239449,0,0.0022921747766464495,12.567700386047363
2010-03-12,201039.06348614543,209923.29482017807,0,-0.003743987338743371,12.517999649047852
2010-03-15,201091.1581323583,209700.80968296292,0,-0.0010598401544988922,12.536499977111816
2010-03-16,201143.26627769976,210685.80254599676,0,0.004697134286334004,12.515899658203125
2010-03-17,201195.38792566775,210186.7794742084,0,-0.0023685652557410286,12.452199935913086
2010-03-18,201247.5230797612,211937.20992011335,0,0.008327975956831102,12.513899803161621
2010-03-19,201299.67174347988,211453.12416780923,0,-0.0022840998637595478,12.561300277709961
2010-03-22,201351.8339203245,212627.1531167703,0,0.005552194859175241,12.5177001953125
2010-03-23,201404.00961379672,213545.85111153402,0,0.004320699314725784,12.485799789428711
2010-03-24,201456.19882739903,214146.56251193507,0,0.0028130324109518767,12.580900192260742
2010-03-25,201508.40156463487,213241.2301935741,0,-0.0042276294690022365,12.545999526977539
2010-03-26,201560.61782900858,212618.00764768946,0,-0.002922617475611511,12.496299743652344
2010-03-29,201612.8476240254,212349.4794210503,0,-0.0012629608828059746,12.420999526977539
2010-03-30,201665.09095319145,211918.40241600035,0,-0.002030035610283698,12.3548002243042
2010-03-31,201717.34782001385,210919.7226023278,0,-0.004712567678346935,12.355299949645996
2010-04-01,201769.61822800056,210081.69110806912,0,-0.003973224902437011,12.306209564208984
2010-04-05,201821.90218066043,210834.92859348774,0,0.003585450409532065,12.236000061035156
2010-04-06,201874.1996815033,211046.35124137127,0,0.001002787580283604,12.21310043334961
2010-04-07,201926.51073403982,211893.8434953416,0,0.004015668828128982,12.292400360107422
2010-04-08,201978.8353417816,210977.16582196153,0,-0.0043261175419672115,12.211600303649902
2010-04-09,202031.17350824122,211578.96860927562,0,0.002852454600807075,12.173999786376953
2010-04-12,202083.52523693204,211372.45356359775,0,-0.0009760660382991393,12.152199745178223
2010-04-13,202135.89053136844,212958.01526706043,0,0.007501269331604776,12.181300163269043
2010-04-14,202188.26939506567,215549.806260051,0,0.012170431762055678,12.183799743652344
2010-04-15,202240.66183153988,216189.00430467934,0,0.0029654308473707758,12.166299819946289
2010-04-16,202293.06784430813,215329.06218471617,0,-0.003977732922768151,12.264699935913086
2010-04-19,202345.48743688842,214695.2274891997,0,-0.0029435631636790527,12.23600959777832
2010-04-20,202397.92061279964,215285.53116591083,0,0.0027494960349820907,12.208000183105469
2010-04-21,202450.36737556162,215864.0924767685,0,0.0026874138160812855,12.172300338745117
2010-04-22,202502.82772869506,217560.9216660003,0,0.007860636615209193,12.199700355529785
2010-04-23,202555.3016757216,217937.14422687053,0,0.0017292745314243518,12.170000076293945
2010-04-26,202607.78922016377,216855.16053561898,0,-0.004964659397964755,12.13599967956543
2010-04-27,202660.29036554502,216339.4407152304,0,-0.0023781763787165122,12.36970043182373
2010-04-28,202712.80511538975,215804.15132145965,0,-0.0024743033078066246,12.331600189208984
2010-04-29,202765.33347322323,217063.68055136217,0,0.005836445787487765,12.191200256347656
2010-04-30,202817.87544257165,214715.80379109143,0,-0.010816534365891695,12.301799774169922
2010-05-03,202870.43102696212,216878.68996470651,0,0.010073250945791923,12.253999710083008
2010-05-04,202923.00022992268,215255.72915635293,0,-0.0074832654541471255,12.538999557495117
2010-05-05,202975.58305498227,217358.75088602,0,0.009769875756196589,12.72719955444336
2010-05-06,203028.17950567073,214142.98599942384,0,-0.01479473392944941,12.972399711608887
2010-05-07,203080.78958551883,206404.26751157508,0,-0.03613808993897927,12.822999954223633
2010-05-10,203133.41329805827,210766.10087695974,0,0.02113247665841045,12.447099685668945
2010-05-11,203186.05064682162,211682.07537827236,0,0.00434592895869601,12.514289855957031
2010-05-12,203238.7016353424,213194.58646618424,0,0.007145201525490696,12.370400428771973
2010-05-13,203291.36626715507,210696.78179592398,0,-0.011716079247896194,12.422200202941895
2010-05-14,203344.04454579492,209284.06740817567,0,-0.00670496424153566,12.58080005645752
2010-05-17,203396.73647479826,209966.37242398175,0,0.003260186139613541,12.581600189208984
2010-05-18,203449.44205770225,210240.5549758527,0,0.001305840305309891,12.774399757385254
2010-05-19,203502.161298045,209073.03498922638,0,-0.005553257727846095,12.805500030517578
2010-05-20,203554.8941993655,206118.38162404377,0,-0.014132158962225194,13.111300468444824
2010-05-21,203607.64076520366,205679.29151543556,0,-0.0021302811770039787,12.940400123596191
2010-05-24,203660.40099910035,206112.2775681488,0,0.002105151420558782,13.01990032196045
2010-05-25,203713.17490459734,205935.4551480519,0,-0.000857893679033439,12.997099876403809
2010-05-26,203765.9624852373,204899.52844072206,0,-0.005030346554871223,13.07800006866455
2010-05-27,203818.76374456385,208057.64367650004,0,0.015412994162607996,12.796099662780762
2010-05-28,203871.57868612147,209107.22869989992,0,0.0050446837946114265,12.936800003051758
2010-06-01,203924.40731345562,207592.85765144255,0,-0.007242078898337501,12.962499618530273
2010-06-02,203977.24963011264,209341.9602640359,0,0.008425639650522898,12.76930046081543
2010-06-03,204030.1056396398,211014.00345565748,0,0.007987138314328845,12.75
2010-06-04,204082.97534558532,207016.26956281377,0,-0.01894534877958365,12.952300071716309
2010-06-07,204135.85875149828,203689.34499266202,0,-0.01607083625445327,12.980199813842773
2010-06-08,204188.75586092874,201286.55028335968,0,-0.011796369168887488,12.850299835205078
2010-06-09,204241.66667742762,199675.60272943715,0,-0.00800325482082509,12.85509967803955
2010-06-10,204294.59120454683,202649.2287845651,0,0.014892285359254576,12.684700012207031
2010-06-11,204347.5294458391,204016.59916111437,0,0.006747473872712906,12.6496000289917
2010-06-14,204400.4814048582,204511.84115083827,0,0.0024274592938038353,12.683099746704102
2010-06-15,204453.44708515875,208155.62934641627,0,0.01781700352934834,12.571900367736816
2010-06-16,204506.4264902963,209321.54392043626,0,0.00560116763443208,12.591099739074707
2010-06-17,204559.4196238273,209819.17029269494,0,0.002377329934313055,12.58080005645752
2010-06-18,204612.4264893092,209309.0935917594,0,-0.0024310300161038967,12.539799690246582
2010-06-21,204665.4470903003,207416.86519396037,0,-0.009040354460134736,12.533100128173828
2010-06-22,204718.4814303598,207142.9767671161,0,-0.0013204732729334978,12.61400032043457
2010-06-23,204771.5295130479,206445.516267261,0,-0.0033670487444971142,12.62339973449707
2010-06-24,204824.59134192567,204771.39935990082,0,-0.008109243240685848,12.714300155639648
2010-06-25,204877.66692055514,203621.7399570433,0,-0.005614355356515999,12.640399932861328
2010-06-28,204930.75625249924,204247.23187299812,0,0.003071832683910758,12.724200248718262
2010-06-29,204983.8593413218,198958.4935259608,0,-0.02589380672892483,12.892000198364258
2010-06-30,205036.97619058762,196503.76238039916,0,-0.012337905771493629,12.929699897766113
2010-07-01,205090.1068038624,197062.52267579912,0,0.002843509399673927,13.003000259399414
2010-07-02,205143.25118471278,197642.2393937464,0,0.0029417908087019384,13.078100204467773
2010-07-06,205196.40933670627,196441.71792249734,0,-0.006074215081409595,12.958999633789062
2010-07-07,205249.58126341138,200803.1442324756,0,0.02220213891480527,12.836899757385254
2010-07-08,205302.7669683975,200782.84148205467,0,-0.00010110773164695441,12.765899658203125
2010-07-09,205355.96645523497,202690.66517807147,0,0.009501925971036274,12.765899658203125
2010-07-12,205409.179727495,204123.5266141883,0,0.007069202890315651,12.81879997253418
2010-07-13,205462.4067887498,204417.50150710545,0,0.001440181334279922,12.67300033569336
2010-07-14,205515.64764257244,205957.19569946878,0,0.007532105524290511,12.704000473022461
2010-07-15,205568.90229253698,207087.2395544552,0,0.005486789869849407,12.762499809265137
2010-07-16,205622.17074221835,203715.9593349488,0,-0.016279516916443804,12.911499977111816
2010-07-19,205675.45299519243,205136.30565777633,0,0.006972189746274227,12.891039848327637
2010-07-20,205728.74905503602,205378.8840348194,0,0.0011825228901594098,12.752300262451172
2010-07-21,205782.05892532688,204147.66057826308,0,-0.00599488823956984,12.851900100708008
2010-07-22,205835.38260964365,207667.1039676755,0,0.01723969493181232,12.750699996948242
2010-07-23,205888.72011156593,208679.7105238844,0,0.004876104769903744,12.732199668884277
2010-07-26,205942.0714346742,209408.14215104037,0,0.003490668188715018,12.672100067138672
2010-07-27,205995.43658254994,209331.13616865478,0,-0.00036773155806923974,12.672900199890137
