Datetime,nav,benchmark,position
2026-04-17 09:30:00-04:00,200000.0,200000.0,0
2026-04-17 10:00:00-04:00,200003.98656898658,200057.23535845982,0
2026-04-17 10:30:00-04:00,200007.9732174368,200716.2256387403,0
2026-04-17 11:00:00-04:00,200011.95994535228,200808.99941508903,0
2026-04-17 11:30:00-04:00,200015.9467527346,200527.5056874215,0
2026-04-17 12:00:00-04:00,200019.93363958533,200898.75185941745,0
2026-04-17 12:30:00-04:00,200023.92060590605,200929.90934587692,0
2026-04-17 13:00:00-04:00,200027.90765169836,200289.23589096958,0
2026-04-17 13:30:00-04:00,200031.89477696383,200542.97113070046,0
2026-04-17 14:00:00-04:00,200035.88198170403,200373.54993766142,0
2026-04-17 14:30:00-04:00,200039.86926592057,200372.81348798148,0
2026-04-17 15:00:00-04:00,200043.85662961504,200332.59200546105,0
2026-04-17 15:30:00-04:00,200047.844072789,200722.4193693819,0
2026-04-20 09:30:00-04:00,200051.83159544406,200374.36192064188,0
2026-04-20 10:00:00-04:00,200055.8191975818,199987.63142204186,0
2026-04-20 10:30:00-04:00,200059.80687920377,199289.9680919014,0
2026-04-20 11:00:00-04:00,200063.7946403116,199754.04469022143,0
2026-04-20 11:30:00-04:00,200067.78248090684,199453.8942373285,0
2026-04-20 12:00:00-04:00,200071.77040099108,199577.69331686082,0
2026-04-20 12:30:00-04:00,200075.75840056592,199605.52733809798,0
2026-04-20 13:00:00-04:00,200079.74647963294,199741.65722893822,0
2026-04-20 13:30:00-04:00,200083.73463819374,199819.00332865823,0
2026-04-20 14:00:00-04:00,200087.72287624987,200013.91701061866,0
2026-04-20 14:30:00-04:00,200091.71119380294,199995.35470201887,0
2026-04-20 15:00:00-04:00,200095.69959085452,199964.3482821604,0
2026-04-20 15:30:00-04:00,200099.68806740618,200100.55370630114,0
2026-04-21 09:30:00-04:00,200103.67662345956,200818.32777770184,0
2026-04-21 10:00:00-04:00,200107.66525901618,200842.51731718946,0
2026-04-21 10:30:00-04:00,200111.65397407766,200054.1384931391,0
2026-04-21 11:00:00-04:00,200115.64276864557,199958.23008481928,0
2026-04-21 11:30:00-04:00,200119.6316427215,200020.1107412603,0
2026-04-21 12:00:00-04:00,200123.62059630707,199829.84235728107,0
2026-04-21 12:30:00-04:00,200127.6096294038,199565.30585557758,0
2026-04-21 13:00:00-04:00,200131.59874201333,199299.12650458803,0
2026-04-21 13:30:00-04:00,200135.5879341372,199777.23341347743,0
2026-04-21 14:00:00-04:00,200139.57720577705,199620.992781377,0
2026-04-21 14:30:00-04:00,200143.5665569344,199965.97224812134,0
2026-04-21 15:00:00-04:00,200147.5559876109,200366.99742384246,0
2026-04-21 15:30:00-04:00,200151.54549780808,199330.18957442185,0
2026-04-22 09:30:00-04:00,200155.53508752756,201022.5509389498,0
2026-04-22 10:00:00-04:00,200159.5247567709,201953.76323426046,0
2026-04-22 10:30:00-04:00,200163.5145055397,201826.90505605759,0
2026-04-22 11:00:00-04:00,200167.50433383556,201959.9569649021,0
2026-04-22 11:30:00-04:00,200171.49424166005,201888.78571249862,0
2026-04-22 12:00:00-04:00,200175.48422901475,201851.66109529903,0
2026-04-22 12:30:00-04:00,200179.47429590125,201808.3427474578,0
2026-04-22 13:00:00-04:00,200183.46444232113,202247.68218986155,0
2026-04-22 13:30:00-04:00,200187.45466827598,202267.79293112174,0
2026-04-22 14:00:00-04:00,200191.4449737674,202043.47791193865,0
2026-04-22 14:30:00-04:00,200195.43535879694,202151.4905316648,0
2026-04-22 15:00:00-04:00,200199.4258233662,202380.71521538091,0
2026-04-22 15:30:00-04:00,200203.4163674768,202671.53730566116,0
2026-04-23 09:30:00-04:00,200207.4069911303,202207.46070734112,0
2026-04-23 10:00:00-04:00,200211.39769432825,202024.75095398433,0
2026-04-23 10:30:00-04:00,200215.38847707227,202792.20373859524,0
2026-04-23 11:00:00-04:00,200219.37933936395,202804.9512789647,0
2026-04-23 11:30:00-04:00,200223.37028120487,202758.8288901674,0
2026-04-23 12:00:00-04:00,200227.36130259663,202835.9175102149,0
2026-04-23 12:30:00-04:00,200231.3524035408,202754.5316855954,0
2026-04-23 13:00:00-04:00,200235.34358403896,202007.67454135203,0
2026-04-23 13:30:00-04:00,200239.3348440927,201716.22079052372,0
2026-04-23 14:00:00-04:00,200243.32618370358,202058.1399707034,0
2026-04-23 14:30:00-04:00,200247.31760287323,201583.71923699157,0
2026-04-23 15:00:00-04:00,200251.30910160323,202152.83206978702,0
2026-04-23 15:30:00-04:00,200255.30067989515,202255.25112010454,0
2026-04-24 09:30:00-04:00,200259.29233775058,204248.97029596442,0
2026-04-24 10:00:00-04:00,200263.2840751711,204103.16633610547,0
2026-04-24 10:30:00-04:00,200267.27589215833,204988.81347552346,0
2026-04-24 11:00:00-04:00,200271.2677887138,205152.31738358922,0
2026-04-24 11:30:00-04:00,200275.25976483914,205490.2413043367,0
2026-04-24 12:00:00-04:00,200279.25182053592,205607.6230308497,0
2026-04-24 12:30:00-04:00,200283.24395580572,205783.92337934254,0
2026-04-24 13:00:00-04:00,200287.23617065014,205499.5778132116,0
2026-04-24 13:30:00-04:00,200291.22846507074,205942.0138362299,0
2026-04-24 14:00:00-04:00,200295.22083906914,205604.45459275515,0
2026-04-24 14:30:00-04:00,200299.21329264692,205758.99608369652,0
2026-04-24 15:00:00-04:00,200303.20582580566,205803.35934271145,0
2026-04-24 15:30:00-04:00,200307.19843854694,205833.36265548712,0
2026-04-27 09:30:00-04:00,200311.19113087235,205330.64012602574,0
2026-04-27 10:00:00-04:00,200315.18390278346,205001.75215385636,0
2026-04-27 10:30:00-04:00,200319.17675428189,205081.55943321311,0
2026-04-27 11:00:00-04:00,200323.1696853692,205045.00793914607,0
2026-04-27 11:30:00-04:00,200327.16269604702,205265.1704627379,0
2026-04-27 12:00:00-04:00,200331.15578631687,205170.64431527635,0
2026-04-27 12:30:00-04:00,200335.14895618038,205423.9233704706,0
2026-04-27 13:00:00-04:00,200339.14220563913,205591.82078979324,0
2026-04-27 13:30:00-04:00,200343.1355346947,205725.5650436134,0
2026-04-27 14:00:00-04:00,200347.12894334868,205673.48981106162,0
2026-04-27 14:30:00-04:00,200351.12243160265,205591.47733249518,0
2026-04-27 15:00:00-04:00,200355.1159994582,205669.38334965266,0
2026-04-27 15:30:00-04:00,200359.10964691694,205819.47456802448,0
2026-04-28 09:30:00-04:00,200363.1033739804,204570.3945584546,0
2026-04-28 10:00:00-04:00,200367.09718065022,204216.13854122933,0
2026-04-28 10:30:00-04:00,200371.09106692797,203573.15556759443,0
2026-04-28 11:00:00-04:00,200375.08503281523,202968.67217144588,0
2026-04-28 11:30:00-04:00,200379.0790783136,202892.50677002774,0
2026-04-28 12:00:00-04:00,200383.07320342466,203220.13844811692,0
2026-04-28 12:30:00-04:00,200387.06740815,203242.62853654474,0
2026-04-28 13:00:00-04:00,200391.0616924912,203280.03311763483,0
2026-04-28 13:30:00-04:00,200395.05605644986,203596.50704798521,0
2026-04-28 14:00:00-04:00,200399.05050002754,203782.51105046933,0
2026-04-28 14:30:00-04:00,200403.04502322586,203990.21902750293,0
2026-04-28 15:00:00-04:00,200407.03962604637,203962.19705732097,0
2026-04-28 15:30:00-04:00,200411.0343084907,203724.76303092035,0
2026-04-29 09:30:00-04:00,200415.02907056038,205203.62767226328,0
2026-04-29 10:00:00-04:00,200419.02391225705,205576.98734857858,0
2026-04-29 10:30:00-04:00,200423.0188335823,205783.39804491994,0
2026-04-29 11:00:00-04:00,200427.01383453768,205705.42399096527,0
2026-04-29 11:30:00-04:00,200431.00891512478,205620.09450617456,0
2026-04-29 12:00:00-04:00,200435.00407534523,205299.1148301492,0
2026-04-29 12:30:00-04:00,200438.99931520058,205476.82541089947,0
2026-04-29 13:00:00-04:00,200442.9946346924,205567.10348567972,0
2026-04-29 13:30:00-04:00,200446.99003382234,205779.12663486067,0
2026-04-29 14:00:00-04:00,200450.98551259193,205919.7610424214,0
2026-04-29 14:30:00-04:00,200454.98107100278,206666.5270328275,0
2026-04-29 15:00:00-04:00,200458.9767090565,206654.63869896345,0
2026-04-29 15:30:00-04:00,200462.97242675463,206770.77013119226,0
2026-04-30 09:30:00-04:00,200466.9682240988,206673.28134358235,0
2026-04-30 10:00:00-04:00,200470.96410109056,205997.9593261696,0
2026-04-30 10:30:00-04:00,200474.9600577315,206762.66557849676,0
2026-04-30 11:00:00-04:00,200478.95609402328,207163.9733915051,0
2026-04-30 11:30:00-04:00,200482.9522099674,207061.42056839354,0
2026-04-30 12:00:00-04:00,200486.94840556546,207364.9671392885,0
2026-04-30 12:30:00-04:00,200490.94468081908,206869.56914604732,0
2026-04-30 13:00:00-04:00,200494.94103572983,207309.5506669966,0
2026-04-30 13:30:00-04:00,200498.9374702993,207878.26888721657,0
2026-04-30 14:00:00-04:00,200502.9339845291,207904.2987602261,0
2026-04-30 14:30:00-04:00,200506.9305784208,207647.15381733445,0
2026-04-30 15:00:00-04:00,200510.92725197598,207934.11094441044,0
2026-04-30 15:30:00-04:00,200514.92400519623,207925.50551398503,0
2026-05-01 09:30:00-04:00,200518.92083808314,209553.7088347677,0
2026-05-01 10:00:00-04:00,200522.9177506383,209242.4126827369,0
2026-05-01 10:30:00-04:00,200526.9147428633,208847.24044475317,0
