Date,NAV,QQQ_BH_MXN,BONDIA,W_TQQQ
2004-01-12,201456.19882739903,203238.9589471976,201456.19882739897,0.0
2004-01-13,201508.40156463487,201745.51826636118,201508.40156463484,0.0
2004-01-14,201560.61782900858,202044.22850698832,201560.61782900852,0.0
2004-01-15,201612.8476240254,202331.27341229186,201612.8476240253,0.0
2004-01-16,201665.09095319145,204681.92957057644,201665.0909531914,0.0
2004-01-20,201717.34782001385,205317.01246254562,201717.34782001382,0.0
2004-01-21,201769.61822800056,206310.19860558392,201769.61822800047,0.0
2004-01-22,201821.90218066043,206964.59714941305,201821.90218066037,0.0
2004-01-23,201874.1996815033,202362.95663571445,201874.19968150323,0.0
2004-01-26,201926.51073403982,206265.05041415707,201926.51073403974,0.0
2004-01-27,201978.8353417816,202184.80883513985,201978.83534178155,0.0
2004-01-28,202031.17350824122,199830.2185493199,202031.17350824113,0.0
2004-01-29,202083.52523693204,202374.99500876418,202083.52523693195,0.0
2004-01-30,202135.89053136844,200960.11160261696,202135.89053136838,0.0
2004-02-02,202188.26939506567,199166.2386733098,202188.26939506558,0.0
2004-02-03,202240.66183153988,200980.18742645,202240.66183153982,0.0
2004-02-04,202293.06784430813,198677.6297409188,202293.06784430804,0.0
2004-02-05,202345.48743688842,199801.1581724777,202345.48743688836,0.0
2004-02-06,202397.92061279964,202870.29014777546,202397.9206127996,0.0
2004-02-09,202450.36737556162,202433.24806133143,202450.36737556156,0.0
2004-02-10,202502.82772869506,202359.03609093788,202502.82772869497,0.0
2004-02-11,202555.3016757216,201936.21933223587,202555.3016757215,0.0
2004-02-12,202607.78922016377,199961.71857456386,202607.78922016366,0.0
2004-02-13,202660.29036554502,198116.48723941305,202660.2903655449,0.0
2004-02-17,202712.80511538975,199842.72825021227,202712.80511538964,0.0
2004-02-18,202765.33347322323,202032.9021365689,202765.33347322312,0.0
2004-02-19,202817.87544257165,198330.95138443584,202817.87544257156,0.0
2004-02-20,202870.43102696212,197506.5181442478,202870.43102696206,0.0
2004-02-23,202923.00022992268,197294.91142557914,202923.0002299226,0.0
2004-02-24,202975.58305498227,197503.4577302761,202975.58305498215,0.0
2004-02-25,203028.17950567073,198088.27754054725,203028.17950567062,0.0
2004-02-26,203080.78958551883,198593.65365493548,203080.7895855187,0.0
2004-02-27,203133.41329805827,198141.839829655,203133.41329805815,0.0
2004-03-01,203186.05064682162,199215.42319742613,203186.0506468215,0.0
2004-03-02,203238.7016353424,196579.87981533728,203238.7016353423,0.0
2004-03-03,203291.36626715507,197329.10999335672,203291.36626715492,0.0
2004-03-04,203344.04454579492,196952.6640024975,203344.0445457948,0.0
2004-03-05,203396.73647479826,195914.6383097656,203396.73647479818,0.0
2004-03-08,203449.44205770225,191859.08741328795,203449.44205770214,0.0
2004-03-09,203502.161298045,191024.05459244843,203502.16129804487,0.0
2004-03-10,203554.8941993655,189058.95301717523,203554.89419936537,0.0
2004-03-11,203607.64076520366,188212.27612724606,203607.6407652035,0.0
2004-03-12,203660.40099910035,190638.6493620829,203660.40099910024,0.0
2004-03-15,203713.17490459734,188320.2254850453,203713.17490459722,0.0
2004-03-16,203765.9624852373,188764.19258742573,203765.96248523716,0.0
2004-03-17,203818.76374456385,190863.72472807433,203818.76374456374,0.0
2004-03-18,203871.57868612147,189899.44397877084,203871.57868612133,0.0
2004-03-19,203924.40731345562,186541.46900580125,203924.40731345548,0.0
2004-03-22,203977.24963011264,184347.943875576,203977.24963011252,0.0
2004-03-23,204030.1056396398,182943.64630932038,204030.1056396397,0.0
2004-03-24,204082.97534558532,186019.88450832854,204082.9753455852,0.0
2004-03-25,204135.85875149828,191321.38828402,204135.8587514982,0.0
2004-03-26,204188.75586092874,190827.30808140466,204188.75586092865,0.0
2004-03-29,204241.66667742762,196620.22699067232,204241.6666774275,0.0
2004-03-30,204294.59120454683,196927.03282192553,204294.5912045467,0.0
2004-03-31,204347.5294458391,195294.4764322683,204347.529445839,0.0
2004-04-01,204400.4814048582,198226.9785552843,204400.48140485812,0.0
2004-04-02,204453.44708515875,202742.92728461477,204453.44708515864,0.0
2004-04-05,204506.4264902963,204416.60181369557,204506.42649029617,0.0
2004-04-06,204559.4196238273,202304.82603254658,204559.4196238272,0.0
2004-04-07,204612.4264893092,203173.61124524166,204612.4264893091,0.0
2004-04-08,204665.4470903003,202883.6000012721,204665.44709030018,0.0
2004-04-12,204718.4814303598,204843.34679207503,204718.4814303597,0.0
2004-04-13,204771.5295130479,201720.18155934665,204771.5295130478,0.0
2004-04-14,204824.59134192567,204029.93211175522,204824.59134192558,0.0
2004-04-15,204877.66692055514,199236.5332604183,204877.66692055506,0.0
2004-04-16,204930.75625249924,199277.61430277862,204930.75625249918,0.0
2004-04-19,204983.8593413218,201223.20924100978,204983.85934132175,0.0
2004-04-20,205036.97619058762,198116.7512002636,205036.97619058756,0.0
2004-04-21,205090.1068038624,199043.3230782417,205090.10680386238,0.0
2004-04-22,205143.25118471278,205056.31998709947,205143.25118471275,0.0
2004-04-23,205196.40933670627,206794.73016039093,205196.40933670625,0.0
2004-04-26,205249.58126341138,204043.66226339014,205249.58126341132,0.0
2004-04-27,205302.7669683975,203801.64536076348,205302.76696839745,0.0
2004-04-28,205355.96645523497,202087.6304231713,205355.9664552349,0.0
2004-04-29,205409.179727495,199573.4971215987,205409.17972749492,0.0
2004-04-30,205462.4067887498,193678.11733051884,205462.40678874974,0.0
2004-05-03,205515.64764257244,197152.49049888953,205515.6476425724,0.0
2004-05-04,205568.90229253698,196749.6769265474,205568.9022925369,0.0
2004-05-05,205622.17074221835,198347.3674543118,205622.17074221824,0.0
2004-05-06,205675.45299519243,197411.00003204722,205675.45299519235,0.0
2004-05-07,205728.74905503602,198584.33799331044,205728.74905503597,0.0
2004-05-10,205782.05892532688,197986.4760198111,205782.0589253268,0.0
2004-05-11,205835.38260964365,199609.23414326904,205835.38260964357,0.0
2004-05-12,205888.72011156593,200525.2893156605,205888.72011156584,0.0
2004-05-13,205942.0714346742,199636.12795205912,205942.07143467412,0.0
2004-05-14,205995.43658254994,196516.49374712424,205995.43658254982,0.0
2004-05-17,206048.8155587755,194008.5810569165,206048.81555877542,0.0
2004-05-18,206102.20836693418,196437.55305544642,206102.20836693406,0.0
2004-05-19,206155.61501061023,196160.3686868849,206155.61501061014,0.0
2004-05-20,206209.03549338877,197509.6233105001,206209.03549338868,0.0
2004-05-21,206262.4698188559,198541.67975921507,206262.4698188558,0.0
2004-05-24,206315.91799059865,198276.08222194767,206315.91799059854,0.0
2004-05-25,206369.38001220496,201771.27763957702,206369.38001220484,0.0
