Date,strategy
2010-02-11,100000.0
2010-02-12,100017.85714285713
2010-02-16,100031.71676020409
2010-02-17,100147.30964864249
2010-02-18,99315.83286915087
2010-02-19,98860.2786014366
2010-02-22,98792.09686251188
2010-02-23,97901.24160128867
2010-02-24,98334.4512770349
2010-02-25,98327.43963746085
2010-02-26,98388.43529570292
2010-03-01,99065.41745298542
2010-03-02,98668.45248853648
2010-03-03,98779.10755853876
2010-03-04,99457.59112929902
2010-03-05,100631.5235638513
2010-03-08,100801.4265583226
2010-03-09,101595.75523248606
2010-03-10,102625.98748693823
2010-03-11,103495.75795594022
2010-03-12,103329.56778345107
2010-03-15,102387.14038618797
2010-03-16,102682.19560027176
2010-03-17,102774.69091674947
2010-03-18,103072.13384180394
2010-03-19,102217.295975727
2010-03-22,102398.87324637946
2010-03-23,102446.03939136722
2010-03-24,102194.51690946457
2010-03-25,102191.80061467648
2010-03-26,102370.30534439199
2010-03-29,102474.20734182489
2010-03-30,103160.42860034425
2010-03-31,102630.80723193643
2010-04-01,102040.1283246369
2010-04-05,102245.38590641544
2010-04-06,102969.25613864628
2010-04-07,102918.85900835387
2010-04-08,102870.3861737955
2010-04-09,103060.0694339206
2010-04-12,103283.88388366265
2010-04-13,103238.5465048429
2010-04-14,104408.090034088
2010-04-15,105188.25875604995
2010-04-16,101848.85677810654
2010-04-19,102009.1309966728
2010-04-20,102248.86404216618
2010-04-21,103971.10420320016
2010-04-22,104555.84874535425
2010-04-23,103738.6728292279
2010-04-26,104230.20040233659
2010-04-27,102617.76405623024
2010-04-28,102229.68629506875
2010-04-29,102958.3830194581
2010-04-30,102263.77849368588
2010-05-03,102771.26372635261
2010-05-04,102065.39966411715
2010-05-05,101824.43323822539
2010-05-06,101842.61617273222
2010-05-07,101860.80235419163
2010-05-10,101878.99178318343
2010-05-11,101897.18446028756
2010-05-12,101915.38038608404
2010-05-13,101933.57956115298
2010-05-14,101951.78198607461
2010-05-17,101969.98766142924
2010-05-18,101988.19658779737
2010-05-19,102006.40876575946
2010-05-20,102024.62419589619
2010-05-21,102042.84287878832
2010-05-24,102061.06481501667
2010-05-25,102079.29000516218
2010-05-26,102097.51844980597
2010-05-27,102115.75014952914
2010-05-28,102133.98510491298
2010-06-01,102152.22331653883
2010-06-02,102168.05509529261
2010-06-03,102106.20881004781
2010-06-04,101466.45251711714
2010-06-07,101022.07274782128
2010-06-08,100889.02488821231
2010-06-09,100341.01817728722
2010-06-10,100358.93621624744
2010-06-11,100376.85745485747
2010-06-14,100394.78189368869
2010-06-15,100412.70953331255
2010-06-16,100428.41858564038
2010-06-17,100826.50783135669
2010-06-18,101023.38791818728
2010-06-21,100713.09879012403
2010-06-22,101033.04013043651
2010-06-23,100807.55963465763
2010-06-24,100657.75783354457
2010-06-25,100480.5099810819
2010-06-28,100627.50870396373
2010-06-29,99632.98885342575
2010-06-30,99259.08438681264
2010-07-01,99276.80922331027
2010-07-02,99294.53722495728
2010-07-06,99312.26839231887
2010-07-07,99330.00272596035
2010-07-08,99347.74022644713
2010-07-09,99365.4808943447
2010-07-12,99383.22473021867
2010-07-13,99400.97173463479
2010-07-14,99418.72190815883
2010-07-15,99436.4752513567
2010-07-16,99454.23176479444
2010-07-19,99471.99144903815
2010-07-20,99489.75430465404
2010-07-21,99507.52033220843
2010-07-22,99525.28953226775
2010-07-23,99543.06190539851
2010-07-26,99558.74041699592
2010-07-27,99961.02449093785
2010-07-28,99722.69737074172
2010-07-29,99506.21781927565
2010-07-30,99450.69205016014
2010-08-02,99836.81912954533
2010-08-03,99857.328984321
2010-08-04,99956.32123148379
2010-08-05,99866.82228197952
2010-08-06,99750.64664925379
2010-08-09,99898.98366766554
2010-08-10,99723.76245601836
2010-08-11,98992.05834664658
2010-08-12,99133.5180345117
2010-08-13,99151.2204484464
2010-08-16,99168.92602352648
2010-08-17,99186.6347603164
2010-08-18,99204.34665938074
2010-08-19,99222.06172128418
2010-08-20,99239.77994659156
2010-08-23,99257.50133586771
2010-08-24,99275.2258896777
