Date,NAV,Regime
2026-04-13 09:30:00,200005.79975579976,0
2026-04-13 10:30:00,200005.79975579976,0
2026-04-13 11:30:00,200005.79975579976,0
2026-04-13 12:30:00,200005.79975579976,0
2026-04-13 13:30:00,199394.08074540002,0
2026-04-13 14:30:00,199394.08074540002,0
2026-04-13 15:30:00,201047.5256949176,0
2026-04-14 09:30:00,206695.0982909536,2
2026-04-14 10:30:00,206695.0982909536,2
2026-04-14 11:30:00,208628.43767644232,2
2026-04-14 12:30:00,208628.43767644232,2
2026-04-14 13:30:00,207896.75971895034,2
2026-04-14 14:30:00,207896.75971895034,2
2026-04-14 15:30:00,207896.75971895034,2
2026-04-15 09:30:00,207902.78847114,0
2026-04-15 10:30:00,209179.07228213677,0
2026-04-15 11:30:00,209179.07228213677,0
2026-04-15 12:30:00,208542.88894863587,0
2026-04-15 13:30:00,208542.88894863587,0
2026-04-15 14:30:00,208542.88894863587,0
2026-04-15 15:30:00,209115.62314364256,0
2026-04-16 09:30:00,208912.91054409003,2
2026-04-16 10:30:00,208912.91054409003,2
2026-04-16 11:30:00,210082.20689441139,2
2026-04-16 12:30:00,210082.20689441139,2
2026-04-16 13:30:00,210082.20689441139,2
2026-04-16 14:30:00,210082.20689441139,2
2026-04-16 15:30:00,210082.20689441139,2
2026-04-17 09:30:00,210088.2990219007,0
2026-04-17 10:30:00,212172.89413683754,0
2026-04-17 11:30:00,212172.89413683754,0
2026-04-17 12:30:00,210483.45135860372,0
2026-04-17 13:30:00,210483.45135860372,0
2026-04-17 14:30:00,210483.45135860372,0
2026-04-17 15:30:00,210483.45135860372,0
2026-04-20 09:30:00,210489.55512169257,2
2026-04-20 10:30:00,210489.55512169257,2
2026-04-20 11:30:00,210489.55512169257,2
2026-04-20 12:30:00,209980.0349646181,2
2026-04-20 13:30:00,209980.0349646181,2
2026-04-20 14:30:00,209980.0349646181,2
2026-04-20 15:30:00,209980.0349646181,2
2026-04-21 09:30:00,209986.1241292462,0
2026-04-21 10:30:00,207538.53613742237,0
2026-04-21 11:30:00,207538.53613742237,0
2026-04-21 12:30:00,207538.53613742237,0
2026-04-21 13:30:00,207538.53613742237,0
2026-04-21 14:30:00,207538.53613742237,0
2026-04-21 15:30:00,207538.53613742237,0
2026-04-22 09:30:00,207544.55450156555,2
2026-04-22 10:30:00,207527.67583162241,2
2026-04-22 11:30:00,207864.83724159282,2
2026-04-22 12:30:00,206717.3323038636,2
2026-04-22 13:30:00,207324.83567528805,2
2026-04-22 14:30:00,206305.58802968214,2
2026-04-22 15:30:00,205502.6731766428,2
2026-04-23 09:30:00,205508.6325032459,0
2026-04-23 10:30:00,205508.6325032459,0
2026-04-23 11:30:00,204684.0855950055,0
2026-04-23 12:30:00,204684.0855950055,0
2026-04-23 13:30:00,204684.0855950055,0
2026-04-23 14:30:00,204684.0855950055,0
2026-04-23 15:30:00,204684.0855950055,0
2026-04-24 09:30:00,204690.02118356826,2
2026-04-24 10:30:00,207083.11627199603,2
2026-04-24 11:30:00,207083.11627199603,2
2026-04-24 12:30:00,206752.07480727517,2
2026-04-24 13:30:00,206752.07480727517,2
2026-04-24 14:30:00,206752.07480727517,2
2026-04-24 15:30:00,206752.07480727517,2
2026-04-27 09:30:00,206758.07036500005,0
2026-04-27 10:30:00,206758.07036500005,0
2026-04-27 11:30:00,206758.07036500005,0
2026-04-27 12:30:00,206758.07036500005,0
2026-04-27 13:30:00,206758.07036500005,0
2026-04-27 14:30:00,206758.07036500005,0
2026-04-27 15:30:00,206758.07036500005,0
2026-04-28 09:30:00,206764.06609658877,2
2026-04-28 10:30:00,209174.08469886752,2
2026-04-28 11:30:00,209174.08469886752,2
2026-04-28 12:30:00,208917.96506345604,2
2026-04-28 13:30:00,208917.96506345604,2
2026-04-28 14:30:00,208917.96506345604,2
2026-04-28 15:30:00,208917.96506345604,2
2026-04-29 09:30:00,208924.02342935378,0
2026-04-29 10:30:00,208924.02342935378,0
2026-04-29 11:30:00,208924.02342935378,0
2026-04-29 12:30:00,208924.02342935378,0
2026-04-29 13:30:00,208924.02342935378,0
2026-04-29 14:30:00,208924.02342935378,0
2026-04-29 15:30:00,209386.6798541717,0
2026-04-30 09:30:00,207233.12093434494,2
2026-04-30 10:30:00,207233.12093434494,2
2026-04-30 11:30:00,207442.889277684,2
2026-04-30 12:30:00,207442.889277684,2
2026-04-30 13:30:00,209437.43157338284,2
2026-04-30 14:30:00,209437.43157338284,2
2026-04-30 15:30:00,209155.81780117514,2
2026-05-01 09:30:00,209161.88306451187,0
2026-05-01 10:30:00,209003.88564573287,0
2026-05-01 11:30:00,209003.88564573287,0
2026-05-01 12:30:00,210023.65766603863,0
2026-05-01 13:30:00,210023.65766603863,0
2026-05-01 14:30:00,210023.65766603863,0
2026-05-01 15:30:00,210023.65766603863,0
2026-05-04 09:30:00,210029.7480956718,2
2026-05-04 10:30:00,210029.7480956718,2
2026-05-04 11:30:00,210029.7480956718,2
2026-05-04 12:30:00,208428.20504774907,2
2026-05-04 13:30:00,208428.20504774907,2
2026-05-04 14:30:00,208428.20504774907,2
2026-05-04 15:30:00,208428.20504774907,2
2026-05-05 09:30:00,208434.24921120435,0
2026-05-05 10:30:00,208643.60765663217,0
2026-05-05 11:30:00,208643.60765663217,0
2026-05-05 12:30:00,209220.0421918441,0
2026-05-05 13:30:00,209220.0421918441,0
2026-05-05 14:30:00,209220.0421918441,0
2026-05-05 15:30:00,209220.0421918441,0
2026-05-06 09:30:00,209226.10931760975,2
2026-05-06 10:30:00,212330.894111378,2
2026-05-06 11:30:00,212330.894111378,2
2026-05-06 12:30:00,212507.17582255305,2
2026-05-06 13:30:00,212507.17582255305,2
2026-05-06 14:30:00,212507.17582255305,2
2026-05-06 15:30:00,212507.17582255305,2
2026-05-07 09:30:00,212513.33827118037,0
2026-05-07 10:30:00,212119.10803043033,0
2026-05-07 11:30:00,212119.10803043033,0
2026-05-07 12:30:00,212119.10803043033,0
2026-05-07 13:30:00,212119.10803043033,0
2026-05-07 14:30:00,212119.10803043033,0
2026-05-07 15:30:00,212119.10803043033,0
2026-05-08 09:30:00,212125.25922556553,2
2026-05-08 10:30:00,213495.49740181142,2
2026-05-08 11:30:00,213495.49740181142,2
2026-05-08 12:30:00,214747.4034851662,2
2026-05-08 13:30:00,214747.4034851662,2
2026-05-08 14:30:00,214747.4034851662,2
2026-05-08 15:30:00,214747.4034851662,2
2026-05-11 09:30:00,214753.63089766042,0
2026-05-11 10:30:00,214753.63089766042,0
2026-05-11 11:30:00,214753.63089766042,0
2026-05-11 12:30:00,214226.8932741432,0
2026-05-11 13:30:00,214226.8932741432,0
2026-05-11 14:30:00,212459.44055956288,0
2026-05-11 15:30:00,212459.44055956288,0
2026-05-12 09:30:00,212465.60162392588,2
2026-05-12 10:30:00,216447.50769976873,2
2026-05-12 11:30:00,216447.50769976873,2
2026-05-12 12:30:00,215490.13374902096,2
2026-05-12 13:30:00,215490.13374902096,2
2026-05-12 14:30:00,215490.13374902096,2
2026-05-12 15:30:00,215490.13374902096,2
2026-05-13 09:30:00,215496.38269978596,0
2026-05-13 10:30:00,215496.38269978596,0
2026-05-13 11:30:00,215496.38269978596,0
2026-05-13 12:30:00,216453.51430447094,0
2026-05-13 13:30:00,216453.51430447094,0
2026-05-13 14:30:00,215977.93900341573,0
2026-05-13 15:30:00,215977.93900341573,0
2026-05-14 09:30:00,215984.20209993748,2
2026-05-14 10:30:00,215984.20209993748,2
2026-05-14 11:30:00,215409.4565607022,2
2026-05-14 12:30:00,215409.4565607022,2
2026-05-14 13:30:00,215409.4565607022,2
2026-05-14 14:30:00,215409.4565607022,2
2026-05-14 15:30:00,215409.4565607022,2
2026-05-15 09:30:00,215415.70317192725,0
2026-05-15 10:30:00,215415.70317192725,0
2026-05-15 11:30:00,215415.70317192725,0
2026-05-15 12:30:00,215415.70317192725,0
2026-05-15 13:30:00,215415.70317192725,0
2026-05-15 14:30:00,215415.70317192725,0
2026-05-15 15:30:00,215415.70317192725,0
2026-05-18 09:30:00,215421.9499642964,2
2026-05-18 10:30:00,215421.9499642964,2
2026-05-18 11:30:00,216979.47941443045,2
2026-05-18 12:30:00,216979.47941443045,2
2026-05-18 13:30:00,219257.55512382812,2
2026-05-18 14:30:00,219257.55512382812,2
2026-05-18 15:30:00,219257.55512382812,2
