Date,nav,benchmark,position,entropy_raw,entropy_smoothed,qqq_mxn,usd_mxn
2010-02-11,200000.0,200000.0,0,1.0,1.0,0.0,12.934000015258789
2010-02-12,200051.8253968254,200407.58179358655,0,1.0,1.0,0.0020379089679327667,12.933699607849121
2010-02-16,200103.6642230096,201508.0217921331,0,1.0,1.0,0.00549100981458861,12.840399742126465
2010-02-17,200155.5164820325,203130.62806302938,0,1.0,1.0,0.008052316014347527,12.871190071105957
2010-02-18,200207.38217737485,204680.08253433654,0,1.0,1.0,0.007627872202641939,12.888400077819824
2010-02-19,200259.26131251844,203185.59330280428,0,1.0,1.0,-0.007301586031369545,12.800000190734863
2010-02-22,200311.15389094586,202863.16970484628,0,1.0,1.0,-0.0015868428106391441,12.805399894714355
2010-02-23,200363.05991614063,202055.00228769964,0,1.0,1.0,-0.003983805529226836,12.921899795532227
2010-02-24,200414.97939158714,202224.5616798505,0,1.0,1.0,0.0008391744338476226,12.802289962768555
2010-02-25,200466.91232077076,202032.57849262995,0,1.0,1.0,-0.0009493564264685395,12.793000221252441
2010-02-26,200518.8587071777,202367.43126875444,0,1.0,1.0,0.001657419702420393,12.768400192260742
2010-03-01,200570.81855429505,204677.44558119975,0,1.0,1.0,0.011414951002552742,12.729299545288086
2010-03-02,200622.79186561093,205297.2128415076,0,1.0,1.0,0.0030280193235163733,12.728599548339844
2010-03-03,200674.7786446142,205046.1835698171,0,1.0,1.0,-0.0012227602519099268,12.69909954071045
2010-03-04,200726.77889479476,205856.80552723908,0,1.0,1.0,0.003953362814704375,12.707500457763672
2010-03-05,200778.7926196433,207590.1129389968,0,1.0,1.0,0.008419966526335587,12.624099731445312
2010-03-08,200830.81982265148,208679.44130484358,0,1.0,1.0,0.005247496378437244,12.665800094604492
2010-03-09,200882.86050731188,209146.38957798388,0,1.0,1.0,0.0022376342883636546,12.623600006103516
2010-03-10,200934.91467711795,210230.19791573135,0,1.0,1.0,0.005182056166182836,12.586799621582031
2010-03-11,200986.98233556404,210712.2981724614,0,1.0,1.0,0.002293201745085627,12.567700386047363
2010-03-12,201039.06348614543,209923.3159703558,0,1.0,1.0,-0.0037443576333634487,12.517999649047852
2010-03-15,201091.1581323583,209700.8503418303,0,1.0,1.0,-0.0010597471152604676,12.536499977111816
2010-03-16,201143.26627769976,210685.8237729986,0,1.0,1.0,0.004697040710911482,12.515899658203125
2010-03-17,201195.38792566775,210186.7424516194,0,1.0,1.0,-0.0023688414931843926,12.452199935913086
2010-03-18,201247.5230797612,211937.1727855097,0,1.0,1.0,0.008327976890803335,12.513899803161621
2010-03-19,201299.67174347988,211453.14547212026,0,1.0,1.0,-0.0022838245269946045,12.561300277709961
2010-03-22,201351.8339203245,212627.15503755052,0,1.0,1.0,0.005552102631573463,12.5177001953125
2010-03-23,201404.00961379672,213545.9309830443,0,1.0,1.0,0.004321065883289954,12.485799789428711
2010-03-24,201456.19882739903,214146.60368789354,0,1.0,1.0,0.0028128501539883555,12.580900192260742
2010-03-25,201508.40156463487,213241.27122394548,0,1.0,1.0,-0.0042276293359643224,12.545999526977539
2010-03-26,201560.61782900858,212617.97066393698,0,1.0,1.0,-0.002922982762346704,12.496299743652344
2010-03-29,201612.8476240254,212349.48146450808,0,1.0,1.0,-0.0012627775469331581,12.420999526977539
2010-03-30,201665.09095319145,211918.44301521732,0,1.0,1.0,-0.002029854023273381,12.3548002243042
2010-03-31,201717.34782001385,210919.70535528395,0,1.0,1.0,-0.0047128397402469435,12.355299949645996
2010-04-01,201769.61822800056,210081.67392955165,0,1.0,1.0,-0.003973224902437011,12.306209564208984
2010-04-05,201821.90218066043,210834.85452079022,0,1.0,1.0,0.0035851798833779203,12.236000061035156
2010-04-06,201874.1996815033,211046.39153196785,0,1.0,1.0,0.0010033303632761559,12.21310043334961
2010-04-07,201926.51073403982,211893.8265424299,0,1.0,1.0,0.004015396824890383,12.292400360107422
2010-04-08,201978.8353417816,210977.13000352448,0,1.0,1.0,-0.0043262069210017184,12.211600303649902
2010-04-09,202031.17350824122,211578.93302720928,0,1.0,1.0,0.0028524562054415004,12.173999786376953
2010-04-12,202083.52523693204,211372.47485978113,0,1.0,1.0,-0.0009757973748814042,12.152199745178223
2010-04-13,202135.89053136844,212958.05570071793,0,1.0,1.0,0.007501359114939765,12.181300163269043
2010-04-14,202188.26939506567,215549.82797711072,0,1.0,1.0,0.012170341562636855,12.183799743652344
2010-04-15,202240.66183153988,216189.00713178344,0,1.0,1.0,0.0029653429124545383,12.166299819946289
2010-04-16,202293.06784430813,215329.0838795355,0,1.0,1.0,-0.003977645596585533,12.264699935913086
2010-04-19,202345.48743688842,214695.28724607834,0,1.0,1.0,-0.002943386104831691,12.23600959777832
2010-04-20,202397.92061279964,215285.64795295798,0,1.0,1.0,0.0027497609027764547,12.208000183105469
2010-04-21,202450.36737556162,215864.22800772038,0,1.0,1.0,0.002687499423504658,12.172300338745117
2010-04-22,202502.82772869506,217560.96259207587,0,1.0,1.0,0.0078601934188689,12.199700355529785
2010-04-23,202555.3016757216,217937.18514458,0,1.0,1.0,0.001729274167671102,12.170000076293945
2010-04-26,202607.78922016377,216855.16347704534,0,1.0,1.0,-0.004964832719193124,12.13599967956543
2010-04-27,202660.29036554502,216339.4239693635,0,1.0,1.0,-0.0023782671319072524,12.36970043182373
2010-04-28,202712.80511538975,215804.2499116812,0,1.0,1.0,-0.002473770373716544,12.331600189208984
2010-04-29,202765.33347322323,217063.56946890138,0,1.0,1.0,0.005835471533742087,12.191200256347656
2010-04-30,202817.87544257165,214715.82542412376,0,1.0,1.0,-0.010815928488239424,12.301799774169922
2010-05-03,202870.43102696212,216878.69272466662,0,1.0,1.0,0.010073162032982808,12.253999710083008
2010-05-04,202923.00022992268,215255.77037878346,0,1.0,1.0,-0.007483088013369277,12.538999557495117
2010-05-05,202975.58305498227,217358.67364431533,0,1.0,1.0,0.009769323543946884,12.72719955444336
2010-05-06,203028.17950567073,214143.0479951652,0,1.0,1.0,-0.014794098598578054,12.972399711608887
2010-05-07,203080.78958551883,206404.06855519893,0,1.0,1.0,-0.036139298064632897,12.822999954223633
2010-05-10,203133.41329805827,210766.06393657622,0,0.7505670733140584,0.9501134146628116,0.021133281974094142,12.447099685668945
2010-05-11,203186.05064682162,211682.13569865757,0,0.6129660092560536,0.8727066165140224,0.004346391183530418,12.514289855957031
2010-05-12,203238.7016353424,213194.56940128608,0,0.6173754463365205,0.7961817057813265,0.007144833916365778,12.370400428771973
2010-05-13,203291.36626715507,210696.89978919877,0,0.6391926732671162,0.7240202404347498,-0.011715446688447595,12.422200202941895
2010-05-14,203344.04454579492,209284.02969358317,0,0.6565976644747571,0.6553397733297011,-0.006705699500226037,12.58080005645752
2010-05-17,203396.73647479826,209966.37397713083,0,0.6737345113450965,0.6399732609359088,0.0032603743560686294,12.581600189208984
2010-05-18,203449.44205770225,210240.63586321162,0,0.6698517822052331,0.6513504155257447,0.0013062181381036098,12.774399757385254
2010-05-19,203502.161298045,209072.9164024005,0,0.6801634519583502,0.6639080166501106,-0.005554204381168604,12.805500030517578
2010-05-20,203554.8941993655,206118.4023908692,0,0.6801634519583502,0.6721021723883573,-0.014131500446690093,13.111300468444824
2010-05-21,203607.64076520366,205679.41303980848,0,0.6585140342631416,0.6724854463460344,-0.00212979212903186,12.940400123596191
2010-05-24,203660.40099910035,206112.25776593154,0,0.668906587288788,0.6715198615347726,0.0021044630560049793,13.01990032196045
2010-05-25,203713.17490459734,205935.59738859977,0,0.678158456926358,0.6731811964789975,-0.0008571075745160694,12.997099876403809
2010-05-26,203765.9624852373,204899.63058366443,0,0.6679994360690776,0.6707483933011431,-0.0050305377898337555,13.07800006866455
2010-05-27,203818.76374456385,208057.6845742558,0,0.6818655162508167,0.6710888061596364,0.015412687575841577,12.796099662780762
2010-05-28,203871.57868612147,209107.26992260598,0,0.7136004446261524,0.6821060882322385,0.005044684364809315,12.936800003051758
2010-06-01,203924.40731345562,207592.8381772502,0,0.7215554387335108,0.6926358585211831,-0.007242367737459787,12.962499618530273
2010-06-02,203977.24963011264,209341.98135564302,0,0.7180797594178019,0.700620119019472,0.008425835851328056,12.76930046081543
2010-06-03,204030.1056396398,211014.14389807926,0,0.7354847506254429,0.7141171819307449,0.007987707633259955,12.75
2010-06-04,204082.97534558532,207016.35095679326,0,0.7456636807463337,0.7268768148298482,-0.0189456160020105,12.952300071716309
2010-06-07,204135.85875149828,203689.26440294302,0,0.7501620570237516,0.7341891373093682,-0.016071612403914193,12.980199813842773
2010-06-08,204188.75586092874,201286.47046343586,0,0.7612745461873942,0.7421329588001448,-0.011796370056862182,12.850299835205078
2010-06-09,204241.66667742762,199675.72298446222,0,0.7667507961855838,0.7518671661537012,-0.008002264013398985,12.85509967803955
2010-06-10,204294.59120454683,202649.36777381913,0,0.7667507961855838,0.7581203752657294,0.014892370213620332,12.684700012207031
2010-06-11,204347.5294458391,204016.63942348948,0,0.7968396223968156,0.7683555635958258,0.006746982064095963,12.6496000289917
2010-06-14,204400.4814048582,204511.9605532964,0,0.805833996938785,0.7794899515788325,0.0024278467246916513,12.683099746704102
2010-06-15,204453.44708515875,208155.6503184982,0,0.805833996938785,0.7884018417291105,0.017816511833068205,12.571900367736816
2010-06-16,204506.4264902963,209321.5453938178,0,0.8207139206805026,0.7991944666280945,0.005601073396449552,12.591099739074707
2010-06-17,204559.4196238273,209819.25023274872,0,0.8117195461385334,0.8081882166186845,0.002377704779479517,12.58080005645752
2010-06-18,204612.4264893092,209309.15375254746,0,0.8117195461385334,0.8111642013670279,-0.0024311233580113223,12.539799690246582
2010-06-21,204665.4470903003,207416.84703999298,0,0.8058860455396428,0.8111746110871995,-0.00904072601999828,12.533100128173828
2010-06-22,204718.4814303598,207143.0762445564,0,0.8117195461385334,0.8123517209271492,-0.0013199062628880265,12.61400032043457
2010-06-23,204771.5295130479,206445.5960665157,0,0.816579310046618,0.8115247988003722,-0.003367142125557998,12.62339973449707
2010-06-24,204824.59134192567,204771.43979912237,0,0.8205060627342654,0.8132821021195186,-0.008109430761864878,12.714300155639648
2010-06-25,204877.66692055514,203621.7604723271,0,0.8288265043731778,0.8167034937664475,-0.005614451546187782,12.640399932861328
2010-06-28,204930.75625249924,204247.2326277704,0,0.8252445602279229,0.8205751967041035,0.003071735329232217,12.724200248718262
2010-06-29,204983.8593413218,198958.53365636675,0,0.8288265043731778,0.8239965883510324,-0.025893613849065078,12.892000198364258
2010-06-30,205036.97619058762,196503.76203484597,0,0.8110788503680615,0.822896496415321,-0.012338106722079911,12.929699897766113
2010-07-01,205090.1068038624,197062.4817565755,0,0.8187065199154028,0.8225365878515486,0.0028433029268439824,13.003000259399414
2010-07-02,205143.25118471278,197642.30005635542,0,0.8187065199154028,0.8205125909599935,0.002942306899880398,13.078100204467773
2010-07-06,205196.40933670627,196441.75790371437,0,0.8222884640606578,0.8199213717265404,-0.006074317857557521,12.958999633789062
