Date,nav,benchmark,position,qqq_mxn,usd_mxn,rsi,srp,support,resistance,smooth
2010-02-11,200000.0,200000.0,0,0.0,12.934000015258789,0.0,0.5,,,
2010-02-12,200051.8253968254,200407.40015372084,0,0.002037000768604136,12.933699607849121,0.0,0.5,,,
2010-02-16,200103.6642230096,201507.85967142726,0,0.005491112188783065,12.840399742126465,0.0,0.5,,,
2010-02-17,200155.5164820325,203130.5048550262,0,0.008052515600358134,12.871190071105957,0.0,0.5,,,
2010-02-18,200207.38217737485,204679.93818104226,0,0.007627772732224036,12.888400077819824,0.0,0.5,,,
2010-02-19,200259.26131251844,203185.310412257,0,-0.007302268029137471,12.800000190734863,98.9351635405176,0.5,,,
2010-02-22,200311.15389094586,202862.9069328267,0,-0.0015867460043058612,12.805399894714355,94.0853535161983,0.5,,,
2010-02-23,200363.05991614063,202054.81952273584,0,-0.0039834162997498535,12.921899795532227,70.20436384423954,0.5,,,
2010-02-24,200414.97939158714,202224.45894869632,0,0.0008395712923907617,12.802289962768555,75.41798053872074,0.5,,,
2010-02-25,200466.91232077076,202032.37621441277,0,-0.000949849168998318,12.793000221252441,75.10318187733132,0.5,,,
2010-02-26,200518.8587071777,202367.36811599904,0,0.0016581099913943742,12.768400192260742,76.77238497015333,0.5,,,
2010-03-01,200570.81855429505,204677.3408926881,0,0.011414749315536765,12.729299545288086,82.03966968464009,0.5,,,
2010-03-02,200622.79186561093,205297.08788334503,0,0.0030279218400723895,12.728599548339844,82.93720480843014,0.5,,,
2010-03-03,200674.7786446142,205046.1180959722,0,-0.0012224712486688105,12.69909954071045,83.25896707828934,0.5,,,
2010-03-04,200726.77889479476,205856.6999390452,0,0.003953168441324095,12.707500457763672,84.22033297477093,0.5,,,
2010-03-05,200778.7926196433,207589.98620093227,0,0.008419868104367234,12.624099731445312,87.71512874491107,0.5,,,
2010-03-08,200830.81982265148,208679.39279361567,0,0.00524787641552682,12.665800094604492,88.08582920003496,0.5,,,
2010-03-09,200882.86050731188,209146.2814083445,0,0.0022373489230467225,12.623600006103516,89.10820275124348,0.5,,,
2010-03-10,200934.91467711795,210230.10847651193,0,0.005182148402874676,12.586799621582031,90.40419804631048,0.5,,,
2010-03-11,200986.98233556404,210712.18872426817,0,0.0022931075441561255,12.567700386047363,90.95338342306493,0.5,,,
2010-03-12,201039.06348614543,209923.22642601051,0,-0.0037442651183794418,12.517999649047852,90.98425448091626,0.5,,,
2010-03-15,201091.1581323583,209700.6829164822,0,-0.0010601185648542177,12.536499977111816,87.14097950332335,0.5,,,
2010-03-16,201143.26627769976,210685.67518407688,0,0.004697134286334004,12.515899658203125,88.45387265118958,0.5,,,
2010-03-17,201195.38792566775,210186.51661565158,0,-0.0023692098097756187,12.452199935913086,88.97890254341645,0.5,,,
2010-03-18,201247.5230797612,211937.00381817576,0,0.008328256401551881,12.513899803161621,89.60551656106433,0.5,,,
2010-03-19,201299.67174347988,211452.93763284787,0,-0.002284009760481376,12.561300277709961,80.67416844367312,0.5,,,
2010-03-22,201351.8339203245,212627.00507947957,0,0.005552381819685426,12.5177001953125,83.33563649986522,0.5,,,
2010-03-23,201404.00961379672,213545.70256857897,0,0.0043206999447507055,12.485799789428711,85.03853052294858,0.5,,,
2010-03-24,201456.19882739903,214146.45265821167,0,0.0028132155431213057,12.580900192260742,78.98046449149382,0.5,,,
2010-03-25,201508.40156463487,213241.1208327611,0,-0.0042276293359643224,12.545999526977539,77.17870857271603,0.5,,,
2010-03-26,201560.61782900858,212617.8401808057,0,-0.0029228914644667814,12.496299743652344,77.57227508861125,0.5,,,
2010-03-29,201612.8476240254,212349.35105341926,0,-0.0012627779830617358,12.420999526977539,79.33776084722822,0.5,,,
2010-03-30,201665.09095319145,211918.2550609455,0,-0.0020301262534365705,12.3548002243042,80.48828767232422,0.5,,,
2010-03-31,201717.34782001385,210919.59509900073,0,-0.0047124772788336156,12.355299949645996,74.10067282604516,0.5,,,
2010-04-01,201769.61822800056,210081.56411134143,0,-0.003973224902437011,12.306209564208984,74.10067282604516,0.5,,,41.71149601660365
2010-04-05,201821.90218066043,210834.7439526254,0,0.0035851781876719002,12.236000061035156,78.05303032068815,0.5,,,41.796090278157195
2010-04-06,201874.1996815033,211046.28074326133,0,0.0010033298434126703,12.21310043334961,79.12064612254781,0.5,,,41.8919510752955
2010-04-07,201926.51073403982,211893.71540314757,0,0.004015397271639909,12.292400360107422,75.72057739549446,0.5,,,41.95528332079293
2010-04-08,201978.8353417816,210977.09535866362,0,-0.004325848186389036,12.211600303649902,76.70870005042622,0.5,,,42.05930294040206
2010-04-09,202031.17350824122,211578.85967376575,0,0.00285227320093262,12.173999786376953,79.1209026644521,0.5,,,42.26753684437372
2010-04-12,202083.52523693204,211372.250057087,0,-0.0009765135183984475,12.152199745178223,79.43718521947596,0.5,,,42.462171547423836
2010-04-13,202135.89053136844,212958.00039783661,0,0.007502168994848457,12.181300163269043,81.34032880687741,0.5,,,42.70310017753344
2010-04-14,202188.26939506567,215549.71392099967,0,0.012170068831982572,12.183799743652344,84.89335010682946,0.5,,,43.0321970645686
2010-04-15,202240.66183153988,216188.8736160127,0,0.0029652542023195227,12.166299819946289,85.96641411383375,0.5,,,43.36977363613491
