Date,nav,benchmark,position,mu_est,vol_est,prob_bull,qqq_mxn,usd_mxn
2010-04-13,267735.3515213416,212957.86755385052,2,0.002097395980938154,0.004867578373586347,0.9793300028048222,0.007501269788997789,12.181300163269043
2010-04-14,277227.81738562684,215549.69493939338,2,0.0024822312061190824,0.00536412659366725,0.990089740197206,0.012170611094645123,12.183799743652344
2010-04-15,280532.1105075948,216188.93047904104,2,0.0025854523568260243,0.005209551535063309,0.9930685079025496,0.0029656063295631085,12.166299819946289
2010-04-16,272734.54416414764,215328.89380060625,2,0.0019462206053756622,0.006295331621611335,0.9650000000000004,-0.003978171669238972,12.264699935913086
2010-04-19,271668.375405257,214695.05957764544,2,0.001866865819376052,0.006145606562456371,0.965189657709473,-0.002943563270927041,12.23600959777832
2010-04-20,275054.03071074595,215285.4961199505,2,0.0019786612811829377,0.006006981696633656,0.967790313912501,0.002750117042593203,12.208000183105469
2010-04-21,279076.49286956695,215864.03783927945,2,0.002120334739091538,0.005864426273697425,0.9764190524952782,0.00268732325101273,12.172300338745117
2010-04-22,283845.1131516767,217560.75213523704,2,0.0022639793157382504,0.005723935631697437,0.9828121594987738,0.007860106356487595,12.199700355529785
2010-04-23,286902.55758047383,217937.0124814339,2,0.0023522919218408314,0.005542378968599529,0.9855512916484827,0.0017294495560622458,12.170000076293945
2010-04-26,283974.5279363635,216854.89709429472,2,0.002161699215449386,0.005495511043657718,0.9798033093336987,-0.0049652666833329695,12.13599967956543
2010-04-27,271579.3242330887,216339.32920685166,2,0.0014999082181702764,0.007798116648991915,0.9130000000000004,-0.002377478647479503,12.36970043182373
2010-04-28,271379.4347228744,215804.09771292293,2,0.0014688327464943138,0.007594453144814615,0.9008376176055912,-0.0024740369487646907,12.331600189208984
2010-04-29,281983.48625738866,217063.5113476719,2,0.0018272363381065158,0.008249042328236336,0.9466851889994057,0.005835911588779608,12.191200256347656
2010-04-30,267774.47245982214,214715.71232387755,2,0.0014709643823853967,0.009381721842210523,0.8990000000000004,-0.010816184669720341,12.301799774169922
2010-05-03,277627.4353685287,216878.50158619607,2,0.0016892217011693347,0.009603252301453135,0.9291897274675598,0.010072803889899618,12.253999710083008
2010-05-04,258969.41867060226,215255.5990318616,2,0.001487959734085053,0.01147327522330539,0.8950000000000004,-0.007483003351945627,12.538999557495117
2010-05-05,258536.89372770407,217358.48069289982,2,0.0013960934044158027,0.011295563051928484,0.8911943596211818,0.009769230953787789,12.72719955444336
2010-05-06,237701.98032611277,214142.7959170087,2,0.0013580268118012445,0.013061557412407708,0.8799972943970904,-0.014794383755536433,12.972399711608887
2010-05-07,217865.47409385926,206404.02287324565,2,0.0013278565651473728,0.013652340341763472,0.8720000000000003,-0.03613837678089449,12.822999954223633
2010-05-10,243021.33059167193,210766.0316419335,2,0.001876068270738523,0.01596364718928479,0.9800000000000004,0.021133351511111842,12.447099685668945
2010-05-11,243372.63232092452,211681.92791760503,1,0.0018611569707544494,0.015779750697651845,0.977062850989348,0.004345559237114216,12.514289855957031
2010-05-12,245111.51276986042,213194.38049840138,1,0.001930015071771717,0.01583330465819849,0.9801296754314731,0.00714493011129913,12.370400428771973
2010-05-13,242239.69870112135,210696.51895622947,1,0.001864962023671409,0.015929469513112714,0.9759088195131742,-0.011716357327676619,12.422200202941895
2010-05-14,240615.5998226866,209283.90169340372,1,0.001792332648485807,0.01616855030141693,0.9718676419162964,-0.006704511635141075,12.58080005645752
2010-05-17,241400.11921783673,209966.26509832076,1,0.0017925939314808901,0.01585967896534781,0.9697031594037248,0.003260467715843207,12.581600189208984
2010-05-18,241715.30377674065,210240.40798136548,1,0.0017306590337349667,0.015912883014189916,0.9604704683152341,0.001305652043276373,12.774399757385254
2010-05-19,240372.85859393515,209072.768951003,1,0.0016682104276271954,0.015681641808776382,0.953834346024153,-0.0055538278372536665,12.805500030517578
2010-05-20,236976.0294353428,206118.25702318118,1,0.001630203765339892,0.01758844148282294,0.9586756194495911,-0.014131500446690093,13.111300468444824
2010-05-21,236471.22703896486,205679.18734035097,1,0.0016506347100035284,0.017322037767321736,0.9575986513594132,-0.002130183367409555,12.940400123596191
2010-05-24,236968.89494652287,206112.0515499786,1,0.00160880957554492,0.016944843042523434,0.9508616777455527,0.002104560092953678,13.01990032196045
2010-05-25,236765.90357473542,205935.49264719308,1,0.0015886131034345344,0.016556724825007064,0.9467906341092074,-0.0008566161049671228,12.997099876403809
2010-05-26,235574.68029852922,204899.3842019545,1,0.0015186344155100969,0.016373858382116656,0.9211780259687232,-0.005031228138092869,13.07800006866455
2010-05-27,239205.56941674926,208057.478032268,1,0.0017034790220135116,0.018038007211373247,0.9492699198214105,0.015412900544399921,12.796099662780762
2010-05-28,240412.28560357762,209107.06198277714,1,0.0016759108587633485,0.017661954460087427,0.9412967759481863,0.0050446826542152046,12.936800003051758
2010-06-01,238671.20043541375,207592.69176969715,1,0.0016394679765877188,0.017398510328917156,0.9372123162021533,-0.007242080677336116,12.962499618530273
2010-06-02,240682.1590486024,209341.7939269231,1,0.0017448315251186995,0.01771200030758984,0.9399070565563337,0.008425644189663517,12.76930046081543
2010-06-03,242604.63536466687,211013.9354864713,1,0.0017796113718342174,0.017296151511496632,0.9405261514810292,0.007987614552170674,12.75
2010-06-04,238008.31551782013,207016.12424028537,1,0.0016524420372280098,0.019110090985505784,0.9306946406305894,-0.018945721461331,12.952300071716309
2010-06-07,234183.34567893832,203689.22186017918,1,0.0015768225637763588,0.019236516685788324,0.9150000000000004,-0.016070740346025514,12.980199813842773
2010-06-08,231420.7634286727,201286.36854347575,1,0.0015534930391101955,0.018699803280830325,0.9068412775609658,-0.011796664029444126,12.850299835205078
2010-06-09,229568.80468988363,199675.56213310754,1,0.0014983928781789097,0.018296955955856942,0.8966025191588372,-0.008002560839187156,12.85509967803955
2010-06-10,232987.5153643197,202649.10628084408,1,0.0016442640910093913,0.018988323019345575,0.9167764950432074,0.01489187818464388,12.684700012207031
2010-06-11,234559.66050987464,204016.5349526864,1,0.0016763203920793157,0.01854519449938564,0.9170676610533754,0.00674776561781254,12.6496000289917
2010-06-14,235129.15814103663,204511.87559702768,1,0.001668221611721992,0.01796799031902458,0.9167223386225294,0.0024279436196490423,12.683099746704102
2010-06-15,239318.29272061153,208155.52310025797,1,0.0017807591793732795,0.018605490379297998,0.93023380097084,0.01781631258621763,12.571900367736816
2010-06-16,240658.7319515144,209321.41738322627,1,0.0017955731161689874,0.017996506871185067,0.9358937292029632,0.005601073013117963,12.591099739074707
2010-06-17,241230.8346245141,209819.0238545558,1,0.0018254244163209334,0.01741672978574199,0.9362277269822425,0.0023772362978915496,12.58080005645752
2010-06-18,240644.46262633987,209309.00613454057,1,0.001843808067433133,0.016813698314973403,0.9315134672161292,-0.0024307506090046616,12.539799690246582
2010-06-21,238468.8395225219,207416.68123076513,1,0.0017871525373170359,0.01649253873629909,0.9195925936730134,-0.009040819306929793,12.533100128173828
2010-06-22,238154.08283319545,207142.91050237147,1,0.0017188723615081608,0.01611438081118253,0.9123903931819063,-0.001319906994795117,12.61400032043457
2010-06-23,237352.18409560132,206445.43080159402,1,0.0016990109472837128,0.01557611316327741,0.9040000000000004,-0.003367142515695587,12.62339973449707
2010-06-24,235427.41541986648,204771.2953813973,1,0.001567493901544121,0.01575650269355028,0.8808770692814267,-0.008109336272042023,12.714300155639648
2010-06-25,234105.6196033474,203621.61686542834,1,0.0015569282816138776,0.015128127543198682,0.8843272329034102,-0.005614451546187782,12.640399932861328
2010-06-28,234824.75289713216,204247.10840326632,1,0.0014981169005882893,0.014558234290205547,0.8604366640526923,0.003071832683910758,12.724200248718262
2010-06-29,210690.60762349144,198958.31299851328,2,0.0012670030533613796,0.01798117779109476,0.8089097062681481,-0.025894101738325848,12.892000198364258
2010-06-30,207480.1656867719,196503.6234480083,1,0.0011561100594859176,0.017879182755727217,0.7913031769045503,-0.01233770790227462,12.929699897766113
2010-07-01,208070.15881750942,197062.40354930423,1,0.0011121631200329478,0.017289850742097476,0.7717758806038493,0.0028436122016028964,13.003000259399414
2010-07-02,208682.21467229174,197642.07916706358,1,0.0010660536933177955,0.016781159760499875,0.7704190554183625,0.002941584022719601,13.078100204467773
2010-07-06,207414.74073259038,196441.65973924586,1,0.0010492549367864985,0.016224943508871163,0.772230901554958,-0.006073703701543365,12.958999633789062
2010-07-07,212019.8318293702,200803.12284021295,1,0.0012941910541526167,0.017671696643358423,0.8058133609212077,0.022202332777866207,12.836899757385254
2010-07-08,211998.22641632115,200782.66044113893,1,0.0013243883619572351,0.017247873961867072,0.8240045841194401,-0.00010190279306721006,12.765899658203125
