Date,NAV,QQQ_BH_MXN,BONDIA,W_TQQQ,HEDGE_USD,SCORE
2007-09-06,205589.24678642387,223225.77812529088,205409.17972749492,0.0,0.35,1
2007-09-07,206093.2085074152,220481.69343571,205462.40678874974,0.0,0.35,1
2007-09-10,206140.80213546715,220344.52917869049,205515.6476425724,0.0,0.35,1
2007-09-11,205734.23218025954,222273.87567541626,205568.9022925369,0.0,0.35,1
2007-09-12,205944.65174997275,222822.1752509272,205622.17074221824,0.0,0.35,1
2007-09-13,206220.01014315675,224622.36707420793,205675.45299519235,0.0,0.35,1
2007-09-14,206228.65026156342,224683.77400032402,205728.74905503597,0.0,0.35,2
2007-09-17,205462.38506253526,223333.71625094477,205782.0589253268,0.16091803474099284,0.0,2
2007-09-18,207511.30811870267,225855.92223930653,205835.38260964357,0.16898767183345387,0.0,3
2007-09-19,208054.0124143773,226597.37889012907,205888.72011156584,0.31167290503961265,0.0,3
2007-09-20,207500.43168705143,225886.91184191493,205942.07143467412,0.3096577093015644,0.0,3
2007-09-21,208629.53096353516,226610.77443391221,205995.43658254982,0.31321591120027475,0.0,3
2007-09-24,209554.31720509805,227708.10786184747,206048.81555877542,0.3160695859798663,0.0,3
2007-09-25,211176.8320522098,228944.50203537743,206102.20836693406,0.3211485002405292,0.0,3
2007-09-26,212233.67966726908,230234.1108260881,206155.61501061014,0.3243539044852398,0.0,3
2007-09-27,213336.06394640377,231553.29073373156,206209.03549338868,0.3276710377632647,0.0,3
2007-09-28,212499.5373136122,231018.37087458294,206262.4698188558,0.42933701249246825,0.0,3
2007-10-01,215225.2187276366,232651.83385688806,206315.91799059854,0.4364180707120044,0.0,3
2007-10-02,215503.45068981667,233265.5156546356,206369.38001220484,0.43699984872269493,0.0,3
2007-10-03,213544.69768182095,231657.29335577475,206422.85588726358,0.43168846551331275,0.0,3
2007-10-04,213861.35777960718,231392.74206264107,206476.34561936453,0.43238290586899014,0.0,3
2007-10-05,219260.8672296426,235551.56253958432,206529.84921209843,0.4462175591951321,0.0,3
2007-10-08,221067.2904523623,236975.1414483206,206583.366669057,0.4506003945333235,0.0,3
2007-10-09,222205.47355244445,237653.66558602877,206636.8979938327,0.45327289964670175,0.0,3
2007-10-10,222877.8853617963,238102.68073867832,206690.4431900192,0.4547811045595154,0.0,3
2007-10-11,218162.92468959888,234621.40290110488,206744.00226121096,0.442853440645346,0.0,3
2007-10-12,222813.859249016,238189.45682345878,206797.57521100322,0.45434175489208445,0.0,3
2007-10-15,220386.96710103136,236144.46390559484,206851.16204299242,0.44819003710242633,0.0,3
2007-10-16,219202.00651526958,235557.165250794,206904.7627607758,0.44506330506620656,0.0,3
2007-10-17,222670.41077770502,237906.32188848488,206958.37736795147,0.4535656639846182,0.0,3
